impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K19-115169,A579196,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1957112,In Public Home,,Cat,,Female,Domestic Mediumhair,Black / Brown,01/20/2019 12:00:00 AM,Date Found,10700 SE 260TH ST,KENT,WA,98030,KENT,47.369116,-122.199405,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1957112,Image Copyright HLP Inc. 2019,,
K18-114609,A577634,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A577634,Meowtropolitan,Aaron,Cat,4 YEARS 1 MONTH,Neutered Male,Domestic Shorthair,White / Black,12/31/2018 12:00:00 AM,Received on,40300 302ND AVE SE,ENUMCLAW,WA,98022,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A577634,Image Copyright HLP Inc. 2019,"Received on: 2018-12-31<p/> Found Near: 40300 302ND AVE SE, ENUMCLAW WA 98022<p/> Description: White / Black Neutered Male Domestic Shorthair Cat<p/> Age: 4 YEARS 1 MONTH<p/> Current Location: Meowtropolitan<p/>",GREEN
K19-115175,A579200,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1957190,LOST,Solo Vino,Cat,,Male,Domestic Shorthair,Unknown,01/24/2019 12:00:00 AM,Date Lost,APT. 102,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1957190,Image Copyright HLP Inc. 2019,,
K19-115177,A579216,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,1 YEAR,Male,Domestic Shorthair,Black,01/31/2019 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-01-31<p/> Found Near: 21600 64TH AVE S, KENT WA 98032<p/> Description: Black Male Domestic Shorthair Cat<p/> Age: 1 YEAR<p/>",
K19-115176,A579215,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1957209,LOST,Scott,Dog,,Male,Boston Terrier,Unknown,01/25/2019 12:00:00 AM,Date Lost,"LAKEVIEW AVE LAKEWOOD , WA",,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1957209,Image Copyright HLP Inc. 2019,,
K19-115114,A579034,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A579034,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Mccoy,Cat,2 YEARS,Neutered Male,Domestic Mediumhair,Black,01/27/2019 12:00:00 AM,Received on,30000 42ND PL S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A579034,Image Copyright HLP Inc. 2019,"Received on: 2019-01-27<p/> Found Near: 30000 42ND PL S, AUBURN WA 98001<p/> Description: Black Neutered Male Domestic Mediumhair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-115102,A402864,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A402864,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Gon So,Dog,8 YEARS 3 MONTHS,Neutered Male,Australian Shepherd / Mix,Black / Brown,01/26/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A402864,Image Copyright HLP Inc. 2019,"Received on: 2019-01-26<p/> Description: Black / Brown<p/>  Neutered Male Australian Shepherd / Mix Dog<p/> Age: 8 YEARS 3 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Gon So and I am available for adoption. I was surrendered to the shelter on 12/8/18.<p/><p/>My personality color is GREEN. I am an adaptable dog who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>My caregivers noticed that I do not get along with cats.  I need to go to home without cats or small animals.  <p/><p/>I am a very smart dog! I have shown my caregivers that I already know how to sit, come, down and shake.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My caregivers have noticed that I seem to do well with other dogs. I would like to meet dogs in a new home, I would do best with a slow introduction.  <p/><p/><p/> Adoption Fee: $200.00<p/>",GREEN
K19-115153,A579148,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A579148,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Kirk,Cat,7 YEARS,Neutered Male,Domestic Longhair,Flame Pt,01/29/2019 12:00:00 AM,Received on,20000 200TH AVE SE,MAPLE VALLEY,WA,98038,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A579148,Image Copyright HLP Inc. 2019,"Received on: 2019-01-29<p/> Found Near: 20000 200TH AVE SE, MAPLE VALLEY WA 98038<p/> Description: Flame Pt Neutered Male Domestic Longhair Cat<p/> Age: 7 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-115178,A579217,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1957293,LOST,Izzy,Cat,,Female,Domestic Mediumhair,Unknown,01/23/2019 12:00:00 AM,Date Lost,1400 14TH PL NE,ISSAQUAH,WA,98029,ISSAQUAH,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1957293,Image Copyright HLP Inc. 2019,,
K19-115148,A579142,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A579142,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Bernard,Cat,5 YEARS,Neutered Male,Domestic Shorthair,Gray,01/29/2019 12:00:00 AM,Received on,10500 SE 235TH ST,KENT,WA,98031,KENT,47.391047,-122.20122,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A579142,Image Copyright HLP Inc. 2019,"Received on: 2019-01-29<p/> Found Near: 10500 SE 235TH ST, KENT WA 98031<p/> Description: Gray Neutered Male Domestic Shorthair Cat<p/> Age: 5 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
