Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
4529,Luka Doncic\doncilu01,20-008,G-F,3/8/19,DAL,@,ORL,L,1,33,9,20,0.45,6,12,0.5,3,8,0.375,3,5,0.6,0,8,8,5,1,0,3,1,24,16.3
4530,Luka Doncic\doncilu01,19-362,G-F,2/25/19,DAL,@,LAC,L,1,33,7,12,0.583,3,6,0.5,4,6,0.667,10,12,0.833,1,9,10,10,0,1,9,2,28,22.9
4531,Luka Doncic\doncilu01,19-251,G-F,11/6/18,DAL,,WAS,W,1,33,9,16,0.563,7,9,0.778,2,7,0.286,3,3,1,1,6,7,3,1,0,5,2,23,15.2
4532,Luka Doncic\doncilu01,19-350,G-F,2/13/19,DAL,,MIA,L,1,33,5,17,0.294,2,8,0.25,3,9,0.333,5,7,0.714,5,7,12,9,0,0,6,1,18,12.8
4533,Luka Doncic\doncilu01,19-339,G-F,2/2/19,DAL,@,CLE,W,1,33,13,25,0.52,9,14,0.643,4,11,0.364,5,7,0.714,1,10,11,6,1,0,2,4,35,27.2
4534,Luka Doncic\doncilu01,19-327,G-F,1/21/19,DAL,@,MIL,L,1,33,6,17,0.353,4,12,0.333,2,5,0.4,4,5,0.8,2,9,11,10,1,1,3,1,18,17.5
4535,Damyean Dotson\dotsoda01,24-307,G,3/9/19,NYK,,SAC,L,1,33,2,12,0.167,2,8,0.25,0,4,0,1,2,0.5,0,6,6,3,0,0,0,0,5,0.9
4536,Damyean Dotson\dotsoda01,24-209,G,12/1/18,NYK,,MIL,W,0,33,7,9,0.778,2,4,0.5,5,5,1,2,2,1,1,4,5,1,1,0,0,1,21,20.7
4537,Goran Dragic\dragigo01,32-164,G,10/17/18,MIA,@,ORL,L,1,33,9,14,0.643,6,7,0.857,3,7,0.429,5,7,0.714,0,4,4,4,0,1,3,5,26,18.7
4538,Andre Drummond\drumman01,25-113,C,12/1/18,DET,,GSW,W,1,33,7,14,0.5,7,12,0.583,0,2,0,2,8,0.25,8,11,19,0,3,2,4,3,16,14.7
4539,Andre Drummond\drumman01,25-219,C,3/17/19,DET,,TOR,W,1,33,5,8,0.625,5,8,0.625,0,0,,5,5,1,4,13,17,1,2,0,1,2,15,19
4540,Andre Drummond\drumman01,25-182,C,2/8/19,DET,,NYK,W,1,33,12,15,0.8,12,15,0.8,0,0,,5,6,0.833,3,17,20,2,1,3,1,4,29,32
4541,Andre Drummond\drumman01,25-127,C,12/15/18,DET,,BOS,W,1,33,6,14,0.429,6,14,0.429,0,0,,7,9,0.778,4,16,20,1,3,5,1,3,19,23.4
4542,Andre Drummond\drumman01,25-091,C,11/9/18,DET,@,ATL,W,1,33,10,15,0.667,10,14,0.714,0,1,0,3,7,0.429,5,6,11,1,1,4,3,5,23,19.7
4543,Kris Dunn\dunnkr01,24-359,G,3/12/19,CHI,,LAL,L,1,33,8,16,0.5,6,13,0.462,2,3,0.667,0,0,,2,5,7,9,2,0,4,4,18,15.6
4544,Kris Dunn\dunnkr01,24-330,G,2/11/19,CHI,,MIL,L,1,33,1,9,0.111,1,8,0.125,0,1,0,0,0,,0,4,4,6,1,0,2,4,2,-1.1
4545,Kris Dunn\dunnkr01,24-328,G,2/9/19,CHI,,WAS,L,1,33,3,6,0.5,3,5,0.6,0,1,0,0,0,,1,3,4,8,3,0,4,1,6,8.8
4546,Kris Dunn\dunnkr01,24-307,G,1/19/19,CHI,,MIA,L,1,33,3,14,0.214,3,13,0.231,0,1,0,0,0,,1,3,4,5,2,0,2,1,6,2.1
4547,Kevin Durant\duranke01,30-079,F-G,12/17/18,GSW,,MEM,W,1,33,7,15,0.467,6,12,0.5,1,3,0.333,8,8,1,0,3,3,5,0,2,2,0,23,19.1
4548,Kevin Durant\duranke01,30-137,F-G,2/13/19,GSW,@,POR,L,1,33,12,17,0.706,9,13,0.692,3,4,0.75,5,6,0.833,2,2,4,2,0,3,1,4,32,27.4
4549,Kevin Durant\duranke01,30-074,F-G,12/12/18,GSW,,TOR,L,1,33,13,22,0.591,11,18,0.611,2,4,0.5,2,2,1,0,7,7,5,0,0,5,2,30,19.6
4550,Wayne Ellington\ellinwa01,30-356,G,11/20/18,MIA,,BRK,L,1,33,2,8,0.25,0,0,,2,8,0.25,3,3,1,0,1,1,2,1,1,0,2,9,6.8
4551,Wayne Ellington\ellinwa01,31-062,G,1/30/19,MIA,,CHI,L,1,33,5,13,0.385,2,2,1,3,11,0.273,0,0,,0,4,4,1,2,0,1,2,13,8
4552,Wayne Ellington\ellinwa01,31-129,G,4/7/19,DET,,CHO,L,1,33,4,9,0.444,1,1,1,3,8,0.375,3,3,1,1,3,4,3,1,0,2,2,14,11.2
4553,Wayne Ellington\ellinwa01,31-076,G,2/13/19,DET,@,BOS,L,0,33,5,12,0.417,2,2,1,3,10,0.3,0,0,,0,1,1,1,2,0,0,3,13,8.4
4554,Joel Embiid\embiijo01,24-329,C,2/8/19,PHI,,DEN,W,1,33,4,17,0.235,4,12,0.333,0,5,0,7,8,0.875,2,10,12,1,1,4,4,3,15,8
4555,Joel Embiid\embiijo01,24-230,C,11/1/18,PHI,,LAC,W,1,33,16,32,0.5,13,24,0.542,3,8,0.375,6,9,0.667,4,9,13,1,0,4,2,5,41,28.8
4556,Joel Embiid\embiijo01,24-269,C,12/10/18,PHI,,DET,W,1,33,6,16,0.375,5,12,0.417,1,4,0.25,11,14,0.786,2,6,8,3,2,2,3,3,24,18.5
4557,Joel Embiid\embiijo01,24-228,C,10/30/18,PHI,@,TOR,L,1,33,11,21,0.524,8,17,0.471,3,4,0.75,6,7,0.857,5,6,11,4,0,1,2,4,31,25.5
4558,Joel Embiid\embiijo01,24-286,C,12/27/18,PHI,@,UTA,W,1,33,9,17,0.529,7,11,0.636,2,6,0.333,3,4,0.75,2,13,15,6,0,5,4,6,23,20.9
4559,Joel Embiid\embiijo01,24-252,C,11/23/18,PHI,,CLE,L,1,33,8,13,0.615,6,9,0.667,2,4,0.5,6,8,0.75,0,12,12,3,0,0,2,3,24,19.8
4560,Joel Embiid\embiijo01,24-216,C,10/18/18,PHI,,CHI,W,1,33,9,14,0.643,9,11,0.818,0,3,0,12,14,0.857,1,11,12,3,1,4,2,4,30,29.3
4561,James Ennis\ennisja01,28-143,F,11/21/18,HOU,,DET,W,1,33,3,5,0.6,0,0,,3,5,0.6,5,6,0.833,0,2,2,0,1,1,1,4,14,11
4562,James Ennis\ennisja01,28-137,F,11/15/18,HOU,,GSW,W,1,33,7,11,0.636,5,5,1,2,6,0.333,3,5,0.6,3,2,5,1,1,0,0,3,19,16.5
4563,Tyreke Evans\evansty01,29-082,G-F,12/10/18,IND,,WAS,W,1,33,7,13,0.538,6,9,0.667,1,4,0.25,3,5,0.6,0,6,6,1,2,1,3,4,18,11.5
4564,Kenneth Faried\farieke01,29-096,F,2/23/19,HOU,@,GSW,W,1,33,7,17,0.412,5,13,0.385,2,4,0.5,4,6,0.667,5,5,10,2,0,0,0,4,20,14.9
4565,Terrance Ferguson\fergute01,20-309,G-F,3/22/19,OKC,@,TOR,W,1,33,4,10,0.4,1,3,0.333,3,7,0.429,0,0,,0,1,1,2,0,0,0,1,11,6.9
4566,Terrance Ferguson\fergute01,20-328,G-F,4/10/19,OKC,@,MIL,W,1,33,4,10,0.4,1,1,1,3,9,0.333,0,0,,0,6,6,5,0,0,3,4,11,6.3
4567,Terrance Ferguson\fergute01,20-307,G-F,3/20/19,OKC,,TOR,L,1,33,3,10,0.3,1,2,0.5,2,8,0.25,0,0,,0,1,1,0,1,0,0,3,8,2.3
4568,Dorian Finney-Smith\finnedo01,25-278,F,2/6/19,DAL,,CHO,W,1,33,7,11,0.636,6,9,0.667,1,2,0.5,0,0,,5,5,10,2,1,0,1,0,15,16.5
4569,Dorian Finney-Smith\finnedo01,25-262,F,1/21/19,DAL,@,MIL,L,0,33,5,8,0.625,2,3,0.667,3,5,0.6,0,0,,1,4,5,2,2,1,1,1,13,14
4570,Dorian Finney-Smith\finnedo01,25-192,F,11/12/18,DAL,@,CHI,W,1,33,2,6,0.333,1,1,1,1,5,0.2,3,4,0.75,0,2,2,1,1,1,2,4,8,3.6
4571,Bryn Forbes\forbebr01,25-158,G,12/28/18,SAS,@,DEN,L,1,33,5,11,0.455,2,5,0.4,3,6,0.5,0,0,,0,3,3,1,2,0,0,2,13,10.1
4572,Bryn Forbes\forbebr01,25-217,G,2/25/19,SAS,@,BRK,L,1,33,2,14,0.143,2,8,0.25,0,6,0,2,2,1,0,1,1,3,0,0,0,0,6,-0.6
4573,Bryn Forbes\forbebr01,25-170,G,1/9/19,SAS,@,MEM,L,1,33,5,14,0.357,2,6,0.333,3,8,0.375,1,1,1,0,4,4,1,0,0,1,1,14,6.7
4574,Bryn Forbes\forbebr01,25-159,G,12/29/18,SAS,@,LAC,W,1,33,4,8,0.5,2,2,1,2,6,0.333,0,0,,0,2,2,7,0,0,1,0,10,10.5
4575,Bryn Forbes\forbebr01,25-177,G,1/16/19,SAS,@,DAL,W,1,33,5,9,0.556,3,4,0.75,2,5,0.4,0,0,,0,5,5,3,0,0,0,1,12,10.9
4576,Bryn Forbes\forbebr01,25-115,G,11/15/18,SAS,@,LAC,L,1,33,5,10,0.5,0,2,0,5,8,0.625,2,3,0.667,0,1,1,2,0,0,0,0,17,13.3
4577,Evan Fournier\fournev01,26-086,G-F,1/23/19,ORL,@,BRK,L,1,33,4,11,0.364,4,8,0.5,0,3,0,1,3,0.333,0,2,2,1,0,0,0,4,9,1.8
4578,Evan Fournier\fournev01,26-060,G-F,12/28/18,ORL,,TOR,W,1,33,3,11,0.273,2,5,0.4,1,6,0.167,0,0,,0,3,3,1,1,1,1,0,7,2.8
4579,Evan Fournier\fournev01,26-047,G-F,12/15/18,ORL,,UTA,W,1,33,7,15,0.467,5,8,0.625,2,7,0.286,8,10,0.8,0,7,7,0,1,0,1,4,24,16
4580,Evan Fournier\fournev01,26-148,G-F,3/26/19,ORL,@,MIA,W,1,33,4,9,0.444,2,3,0.667,2,6,0.333,1,1,1,0,4,4,3,1,0,3,3,11,6.4
4581,Evan Fournier\fournev01,26-006,G-F,11/4/18,ORL,@,SAS,W,1,33,7,15,0.467,5,7,0.714,2,8,0.25,0,0,,0,1,1,7,3,0,3,1,16,13.1
4582,Evan Fournier\fournev01,25-358,G-F,10/22/18,ORL,@,BOS,W,1,33,5,13,0.385,3,8,0.375,2,5,0.4,2,2,1,0,6,6,10,0,0,0,2,14,14.9
4583,Evan Fournier\fournev01,26-130,G-F,3/8/19,ORL,,DAL,W,1,33,4,10,0.4,3,7,0.429,1,3,0.333,1,1,1,1,0,1,4,1,0,1,3,10,6.9
4584,Evan Fournier\fournev01,26-096,G-F,2/2/19,ORL,,BRK,W,1,33,6,11,0.545,3,7,0.429,3,4,0.75,1,1,1,0,3,3,4,1,0,2,2,16,12.6
4585,De'Aaron Fox\foxde01,21-001,G,12/21/18,SAC,,MEM,W,1,33,4,11,0.364,2,8,0.25,2,3,0.667,4,6,0.667,0,2,2,8,5,1,3,4,14,14.4
4586,De'Aaron Fox\foxde01,21-067,G,2/25/19,SAC,@,MIN,L,1,33,8,24,0.333,6,19,0.316,2,5,0.4,5,7,0.714,1,2,3,5,1,0,3,4,23,9.8
4587,De'Aaron Fox\foxde01,20-324,G,11/9/18,SAC,,MIN,W,1,33,3,7,0.429,2,6,0.333,1,1,1,9,12,0.75,1,3,4,10,1,2,0,1,16,21.7
4588,De'Aaron Fox\foxde01,21-101,G,3/31/19,SAC,@,SAS,W,1,33,5,12,0.417,5,10,0.5,0,2,0,2,3,0.667,0,4,4,5,1,0,2,1,12,8.5
4589,De'Aaron Fox\foxde01,21-074,G,3/4/19,SAC,,NYK,W,1,33,5,12,0.417,4,10,0.4,1,2,0.5,5,8,0.625,0,4,4,3,4,0,2,4,16,12.1
4590,De'Aaron Fox\foxde01,20-361,G,12/16/18,SAC,@,DAL,W,1,33,11,19,0.579,11,16,0.688,0,3,0,6,6,1,1,2,3,5,3,1,2,4,28,24
4591,De'Aaron Fox\foxde01,21-091,G,3/21/19,SAC,,DAL,W,1,33,6,13,0.462,5,9,0.556,1,4,0.25,2,4,0.5,0,3,3,9,1,4,1,1,15,17.1
4592,Danilo Gallinari\gallida01,30-240,F,4/5/19,LAC,,LAL,L,1,33,8,18,0.444,5,12,0.417,3,6,0.5,8,9,0.889,1,5,6,8,3,2,3,2,27,25.6
4593,Danilo Gallinari\gallida01,30-113,F,11/29/18,LAC,@,SAC,W,1,33,7,15,0.467,5,9,0.556,2,6,0.333,0,0,,1,3,4,2,3,0,0,1,16,13.9
4594,Danilo Gallinari\gallida01,30-228,F,3/24/19,LAC,@,NYK,W,1,33,5,16,0.313,2,6,0.333,3,10,0.3,13,14,0.929,2,6,8,1,0,0,2,4,26,16.7
4595,Danilo Gallinari\gallida01,30-151,F,1/6/19,LAC,,ORL,W,1,33,5,16,0.313,3,6,0.5,2,10,0.2,1,1,1,0,5,5,2,0,0,0,3,13,5.5
4596,Danilo Gallinari\gallida01,30-101,F,11/17/18,LAC,@,BRK,W,1,33,9,14,0.643,4,7,0.571,5,7,0.714,5,5,1,0,3,3,2,1,0,1,0,28,24.1
4597,Danilo Gallinari\gallida01,30-122,F,12/8/18,LAC,,MIA,L,1,33,3,10,0.3,2,7,0.286,1,3,0.333,5,6,0.833,3,8,11,3,0,1,5,2,12,7.3
4598,Danilo Gallinari\gallida01,30-159,F,1/14/19,LAC,,NOP,L,1,33,8,13,0.615,2,4,0.5,6,9,0.667,3,3,1,0,4,4,6,2,0,4,5,25,20.5
4599,Danilo Gallinari\gallida01,30-112,F,11/28/18,LAC,,PHO,W,1,33,7,10,0.7,3,6,0.5,4,4,1,10,12,0.833,1,9,10,4,1,2,1,1,28,30.2
4600,Danilo Gallinari\gallida01,30-226,F,3/22/19,LAC,@,CLE,W,1,33,11,15,0.733,10,11,0.909,1,4,0.25,4,4,1,0,3,3,3,1,0,1,1,27,23.5
4601,Langston Galloway\gallola01,26-312,G,10/17/18,DET,,BRK,W,0,33,2,5,0.4,2,2,1,0,3,0,2,2,1,0,3,3,1,0,0,0,0,6,4.9
4602,Langston Galloway\gallola01,27-096,G,3/15/19,DET,,LAL,W,0,33,8,10,0.8,4,4,1,4,6,0.667,3,3,1,1,2,3,2,0,0,0,2,23,21.1
4603,Marc Gasol\gasolma01,34-068,C,4/7/19,TOR,,MIA,W,1,33,2,4,0.5,2,3,0.667,0,1,0,4,4,1,0,10,10,7,0,0,0,5,8,11.9
4604,Marc Gasol\gasolma01,33-310,C,12/5/18,MEM,,LAC,W,1,33,1,13,0.077,1,8,0.125,0,5,0,2,3,0.667,2,6,8,4,0,1,2,2,4,-1.2
4605,Marc Gasol\gasolma01,33-312,C,12/7/18,MEM,@,NOP,W,1,33,5,12,0.417,4,11,0.364,1,1,1,4,4,1,1,5,6,4,0,2,0,2,15,14.2
4606,Rudy Gay\gayru01,32-066,F,10/22/18,SAS,@,LAL,W,1,33,7,8,0.875,5,5,1,2,3,0.667,0,0,,1,5,6,2,1,1,3,4,16,13.9
4607,Rudy Gay\gayru01,32-071,F,10/27/18,SAS,,LAL,W,0,33,6,15,0.4,6,14,0.429,0,1,0,4,5,0.8,2,8,10,5,1,2,0,1,16,16.8
4608,Paul George\georgpa01,28-243,F,12/31/18,OKC,,DAL,W,1,33,7,21,0.333,5,15,0.333,2,6,0.333,6,7,0.857,2,2,4,1,4,0,0,5,22,14.4
4609,Paul George\georgpa01,28-172,F,10/21/18,OKC,,SAC,L,1,33,10,18,0.556,7,9,0.778,3,9,0.333,6,6,1,0,6,6,2,3,0,4,5,29,20.6
4610,Taj Gibson\gibsota01,33-141,F,11/12/18,MIN,,BRK,W,1,33,5,8,0.625,5,8,0.625,0,0,,7,8,0.875,3,6,9,1,1,1,2,4,17,15.7
4611,Taj Gibson\gibsota01,33-120,F,10/22/18,MIN,,IND,W,1,33,6,7,0.857,5,6,0.833,1,1,1,0,0,,2,5,7,1,1,3,3,1,13,13.8
4612,Shai Gilgeous-Alexander\gilgesh01,20-265,G,4/3/19,LAC,,HOU,L,1,33,8,16,0.5,7,13,0.538,1,3,0.333,3,5,0.6,2,2,4,4,2,0,3,2,20,14.2
4613,Shai Gilgeous-Alexander\gilgesh01,20-163,G,12/22/18,LAC,,DEN,W,1,33,6,10,0.6,6,10,0.6,0,0,,2,2,1,0,2,2,6,2,1,0,2,14,16.1
4614,Rudy Gobert\goberru01,26-182,C,12/25/18,UTA,,POR,W,1,33,7,10,0.7,7,10,0.7,0,0,,4,9,0.444,4,10,14,0,1,7,3,3,18,19.3
4615,Rudy Gobert\goberru01,26-172,C,12/15/18,UTA,@,ORL,L,1,33,2,6,0.333,2,6,0.333,0,0,,2,2,1,5,8,13,2,2,2,1,2,6,11.5
4616,Rudy Gobert\goberru01,26-124,C,10/28/18,UTA,@,DAL,W,1,33,9,13,0.692,9,13,0.692,0,0,,5,6,0.833,6,10,16,2,2,3,3,3,23,25.6
4617,Rudy Gobert\goberru01,26-209,C,1/21/19,UTA,,POR,L,0,33,4,10,0.4,4,10,0.4,0,0,,2,4,0.5,5,8,13,3,0,4,4,1,10,10.2
4618,Rudy Gobert\goberru01,26-255,C,3/8/19,UTA,@,MEM,L,1,33,3,6,0.5,3,6,0.5,0,0,,3,7,0.429,3,4,7,1,1,5,2,2,9,10.1
4619,Rudy Gobert\goberru01,26-225,C,2/6/19,UTA,,PHO,W,1,33,5,8,0.625,5,8,0.625,0,0,,6,10,0.6,4,8,12,2,3,3,0,1,16,22.1
4620,Rudy Gobert\goberru01,26-155,C,11/28/18,UTA,@,BRK,W,1,33,10,14,0.714,10,14,0.714,0,0,,3,9,0.333,6,10,16,3,1,4,1,3,23,25.7
4621,Rudy Gobert\goberru01,26-253,C,3/6/19,UTA,@,NOP,W,1,33,10,12,0.833,10,12,0.833,0,0,,2,6,0.333,2,11,13,1,0,4,4,2,22,19.4
4622,Rudy Gobert\goberru01,26-242,C,2/23/19,UTA,,DAL,W,1,33,4,8,0.5,4,8,0.5,0,0,,7,8,0.875,2,10,12,1,0,3,2,3,15,14.6
4623,Rudy Gobert\goberru01,26-118,C,10/22/18,UTA,,MEM,L,1,33,4,6,0.667,4,6,0.667,0,0,,3,5,0.6,2,10,12,1,1,2,1,4,11,12.5
4624,Aaron Gordon\gordoaa01,23-057,F,11/12/18,ORL,@,WAS,L,1,33,8,13,0.615,8,9,0.889,0,4,0,2,2,1,2,8,10,3,2,2,2,1,18,19
4625,Aaron Gordon\gordoaa01,23-149,F,2/12/19,ORL,@,NOP,W,1,33,6,10,0.6,4,6,0.667,2,4,0.5,6,6,1,1,3,4,4,2,0,2,1,20,19.4
4626,Aaron Gordon\gordoaa01,23-098,F,12/23/18,ORL,,MIA,L,1,33,4,7,0.571,2,3,0.667,2,4,0.5,4,4,1,1,5,6,4,1,1,2,2,14,14.6
4627,Aaron Gordon\gordoaa01,23-137,F,1/31/19,ORL,,IND,W,1,33,4,9,0.444,4,7,0.571,0,2,0,2,4,0.5,0,3,3,1,0,0,0,0,10,6.1
4628,Aaron Gordon\gordoaa01,23-106,F,12/31/18,ORL,@,CHO,L,1,33,6,17,0.353,4,11,0.364,2,6,0.333,0,0,,2,6,8,5,0,0,0,1,14,10.8
4629,Aaron Gordon\gordoaa01,23-050,F,11/5/18,ORL,,CLE,W,1,33,9,15,0.6,6,11,0.545,3,4,0.75,2,2,1,4,5,9,3,0,0,1,3,23,20.3
4630,Aaron Gordon\gordoaa01,23-206,F,4/10/19,ORL,@,CHO,W,1,33,11,18,0.611,10,15,0.667,1,3,0.333,4,4,1,2,5,7,3,0,0,2,1,27,21.4
4631,Eric Gordon\gordoer01,30-076,G,3/11/19,HOU,,CHO,W,1,33,7,14,0.5,2,2,1,5,12,0.417,3,4,0.75,0,2,2,3,0,1,2,4,22,14.4
4632,Eric Gordon\gordoer01,29-300,G,10/21/18,HOU,@,LAC,L,1,33,7,18,0.389,2,10,0.2,5,8,0.625,2,2,1,1,4,5,2,1,0,0,1,21,15.1
4633,Eric Gordon\gordoer01,30-035,G,1/29/19,HOU,,NOP,L,1,33,6,14,0.429,2,2,1,4,12,0.333,1,2,0.5,0,3,3,0,0,0,1,5,17,7.1
4634,Eric Gordon\gordoer01,29-353,G,12/13/18,HOU,,LAL,W,1,33,6,11,0.545,5,7,0.714,1,4,0.25,0,0,,1,1,2,1,1,0,2,0,13,8.4
4635,Eric Gordon\gordoer01,29-323,G,11/13/18,HOU,@,DEN,W,0,33,3,9,0.333,1,2,0.5,2,7,0.286,3,5,0.6,0,0,0,2,0,1,2,1,11,4.8
4636,Eric Gordon\gordoer01,29-305,G,10/26/18,HOU,,LAC,L,1,33,3,14,0.214,2,8,0.25,1,6,0.167,3,3,1,0,4,4,1,1,2,3,2,10,1.9
4637,Jerami Grant\grantje01,24-286,F,12/23/18,OKC,,MIN,L,1,33,6,10,0.6,5,5,1,1,5,0.2,1,1,1,1,6,7,0,0,2,0,3,14,12.1
4638,Jerami Grant\grantje01,24-321,F,1/27/19,OKC,,MIL,W,1,33,5,10,0.5,4,7,0.571,1,3,0.333,5,8,0.625,0,2,2,4,0,5,0,3,16,15.5
4639,Jerami Grant\grantje01,24-300,F,1/6/19,OKC,,WAS,L,1,33,7,11,0.636,5,9,0.556,2,2,1,1,1,1,2,0,2,1,1,0,1,2,17,13.4
4640,Jerami Grant\grantje01,25-019,F,3/31/19,OKC,,DAL,L,1,33,6,16,0.375,4,8,0.5,2,8,0.25,0,0,,0,3,3,0,1,1,2,3,14,4.6
4641,Jerami Grant\grantje01,24-328,F,2/3/19,OKC,@,BOS,L,1,33,5,8,0.625,3,6,0.5,2,2,1,3,5,0.6,1,2,3,0,1,1,0,0,15,13.6
4642,Jerami Grant\grantje01,24-316,F,1/22/19,OKC,,POR,W,1,33,4,8,0.5,2,6,0.333,2,2,1,1,2,0.5,0,5,5,0,1,2,0,3,11,9.3
4643,Danny Green\greenda02,31-117,G-F,10/17/18,TOR,,CLE,W,1,33,4,9,0.444,1,2,0.5,3,7,0.429,0,0,,1,4,5,0,2,2,0,3,11,10.4
4644,Danny Green\greenda02,31-234,G-F,2/11/19,TOR,,BRK,W,1,33,3,8,0.375,0,0,,3,8,0.375,0,0,,0,4,4,5,3,0,2,3,9,9.1
4645,Draymond Green\greendr01,29-023,F,3/27/19,GSW,@,MEM,W,1,33,2,7,0.286,1,3,0.333,1,4,0.25,1,2,0.5,0,7,7,6,2,2,4,1,6,6.8
4646,Draymond Green\greendr01,28-310,F,1/8/19,GSW,,NYK,W,1,33,1,5,0.2,1,4,0.25,0,1,0,0,0,,5,6,11,10,0,2,1,2,2,10.8
4647,Draymond Green\greendr01,28-231,F,10/21/18,GSW,@,DEN,L,1,33,1,4,0.25,1,3,0.333,0,1,0,2,4,0.5,1,4,5,4,1,0,3,5,4,1.5
4648,Draymond Green\greendr01,28-229,F,10/19/18,GSW,@,UTA,W,1,33,6,12,0.5,5,9,0.556,1,3,0.333,1,2,0.5,2,7,9,6,1,2,5,5,14,10.7
4649,Draymond Green\greendr01,28-326,F,1/24/19,GSW,@,WAS,W,1,33,3,6,0.5,2,4,0.5,1,2,0.5,0,0,,2,13,15,7,0,1,3,5,7,9.9
4650,Draymond Green\greendr01,28-226,F,10/16/18,GSW,,OKC,W,1,33,1,6,0.167,1,5,0.2,0,1,0,0,0,,1,12,13,5,3,0,6,3,2,1.8
4651,Draymond Green\greendr01,28-243,F,11/2/18,GSW,,MIN,W,1,33,4,7,0.571,4,5,0.8,0,2,0,1,2,0.5,2,7,9,11,1,3,4,3,9,14.4
4652,Draymond Green\greendr01,28-302,F,12/31/18,GSW,@,PHO,W,1,33,2,4,0.5,1,2,0.5,1,2,0.5,2,2,1,0,3,3,7,2,1,1,3,7,11.3
4653,Draymond Green\greendr01,29-015,F,3/19/19,GSW,@,MIN,W,1,33,2,5,0.4,2,3,0.667,0,2,0,1,2,0.5,0,10,10,9,1,4,4,4,5,9.4
4654,Gerald Green\greenge01,32-348,G-F,1/9/19,HOU,,MIL,L,0,33,5,13,0.385,2,3,0.667,3,10,0.3,3,3,1,1,1,2,1,1,0,2,1,16,9.2
4655,JaMychal Green\greenja01,28-155,F,11/23/18,MEM,@,LAC,L,0,33,3,9,0.333,3,7,0.429,0,2,0,0,0,,2,7,9,0,1,1,0,6,6,3.7
4656,Jeff Green\greenje02,32-185,F,3/1/19,WAS,@,BOS,L,1,33,4,9,0.444,2,2,1,2,7,0.286,5,6,0.833,0,4,4,0,1,1,0,0,15,12.8
4657,Jeff Green\greenje02,32-051,F,10/18/18,WAS,,MIA,L,0,33,6,12,0.5,4,8,0.5,2,4,0.5,3,3,1,1,3,4,1,1,1,2,3,17,11.8
4658,Jeff Green\greenje02,32-122,F,12/28/18,WAS,,CHI,L,1,33,3,10,0.3,3,7,0.429,0,3,0,5,6,0.833,1,6,7,4,0,0,1,2,11,8.3
4659,Jeff Green\greenje02,32-110,F,12/16/18,WAS,,LAL,W,1,33,8,15,0.533,4,9,0.444,4,6,0.667,0,1,0,1,6,7,1,0,1,0,1,20,15.8
4660,Blake Griffin\griffbl01,29-357,F,3/8/19,DET,@,CHI,W,1,33,10,19,0.526,7,10,0.7,3,9,0.333,4,5,0.8,1,2,3,3,0,0,3,2,27,16.9
4661,Blake Griffin\griffbl01,29-291,F,1/1/19,DET,@,MIL,L,1,33,9,20,0.45,5,11,0.455,4,9,0.444,7,7,1,4,5,9,4,1,1,6,5,29,19.4
4662,Blake Griffin\griffbl01,30-008,F,3/24/19,DET,@,GSW,L,1,33,6,14,0.429,3,7,0.429,3,7,0.429,9,10,0.9,1,5,6,8,0,0,1,1,24,22.6
4663,Blake Griffin\griffbl01,29-344,F,2/23/19,DET,@,MIA,W,1,33,7,19,0.368,5,11,0.455,2,8,0.25,4,7,0.571,1,3,4,6,0,0,3,3,20,9.9
4664,Blake Griffin\griffbl01,30-012,F,3/28/19,DET,,ORL,W,1,33,8,18,0.444,6,13,0.462,2,5,0.4,2,3,0.667,2,8,10,5,1,0,3,3,20,14.3
4665,Blake Griffin\griffbl01,30-001,F,3/17/19,DET,,TOR,W,1,33,9,21,0.429,5,13,0.385,4,8,0.5,3,5,0.6,2,6,8,3,0,0,5,5,25,11.4
4666,Tim Hardaway\hardati02,26-265,G,12/6/18,NYK,@,BOS,L,1,33,7,19,0.368,1,6,0.167,6,13,0.462,2,2,1,1,0,1,2,1,0,3,2,22,10.8
4667,Tim Hardaway\hardati02,26-284,G,12/25/18,NYK,,MIL,L,1,33,4,18,0.222,3,14,0.214,1,4,0.25,5,6,0.833,2,8,10,3,1,0,2,4,14,5.9
4668,James Harden\hardeja01,29-069,G,11/3/18,HOU,@,CHI,W,1,33,7,17,0.412,2,5,0.4,5,12,0.417,6,8,0.75,0,1,1,7,4,0,8,3,25,15.1
4669,James Harden\hardeja01,29-205,G,3/19/19,HOU,@,ATL,W,1,33,8,18,0.444,4,7,0.571,4,11,0.364,11,12,0.917,0,8,8,10,1,1,4,1,31,27.9
4670,Maurice Harkless\harklma01,25-235,F-G,1/1/19,POR,@,SAC,W,1,33,5,10,0.5,4,8,0.5,1,2,0.5,0,0,,1,8,9,0,2,2,1,4,11,9.9
4671,Gary Harris\harriga01,24-054,G,11/7/18,DEN,@,MEM,L,1,33,6,16,0.375,3,10,0.3,3,6,0.5,5,6,0.833,1,1,2,2,0,0,3,1,20,9.8
4672,Gary Harris\harriga01,24-045,G,10/29/18,DEN,,NOP,W,1,33,8,16,0.5,7,13,0.538,1,3,0.333,6,8,0.75,1,5,6,6,2,1,0,3,23,22.1
