Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
228,Josh Jackson\jacksjo02,22-058,F-G,4/9/19,PHO,@,DAL,L,1,42,6,20,0.3,4,12,0.333,2,8,0.25,3,5,0.6,1,7,8,0,0,2,1,3,17,6.6
229,LeBron James\jamesle01,34-064,F-G,3/4/19,LAL,,LAC,L,1,42,9,18,0.5,8,12,0.667,1,6,0.167,8,12,0.667,0,8,8,6,1,1,2,3,27,21.5
230,Kevin Knox\knoxke01,19-125,F,12/14/18,NYK,@,CHO,W,1,42,7,15,0.467,4,9,0.444,3,6,0.5,3,6,0.5,0,3,3,3,1,1,0,4,20,14.2
231,Kyle Kuzma\kuzmaky01,23-157,F,12/28/18,LAL,,LAC,L,1,42,9,21,0.429,9,14,0.643,0,7,0,6,7,0.857,0,9,9,5,1,0,4,3,24,14.5
232,Jeremy Lamb\lambje01,26-203,G-F,12/19/18,CHO,,CLE,W,1,42,8,16,0.5,6,12,0.5,2,4,0.5,0,0,,1,11,12,5,0,0,0,2,18,16.7
233,Kawhi Leonard\leonaka01,27-264,F,3/20/19,TOR,@,OKC,W,1,42,8,19,0.421,6,13,0.462,2,6,0.333,4,5,0.8,3,7,10,6,2,0,3,3,22,17.7
234,Meyers Leonard\leoname01,27-042,C-F,4/10/19,POR,,SAC,W,1,42,8,13,0.615,7,11,0.636,1,2,0.5,2,2,1,4,7,11,3,0,0,3,4,19,15.5
235,Damian Lillard\lillada01,28-170,G,1/1/19,POR,@,SAC,W,1,42,8,21,0.381,7,12,0.583,1,9,0.111,8,8,1,1,5,6,6,1,0,5,0,25,15.9
236,Kyle Lowry\lowryky01,32-343,G,3/3/19,TOR,@,DET,L,1,42,11,24,0.458,5,10,0.5,6,14,0.429,7,9,0.778,1,6,7,5,1,0,3,3,35,24.6
237,Kyle Lowry\lowryky01,33-013,G,4/7/19,TOR,,MIA,W,1,42,1,8,0.125,1,3,0.333,0,5,0,3,4,0.75,0,9,9,5,3,0,2,2,5,5.8
