date,time,borough,zip_code,latitude,longitude,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,unique_key,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,location,vehicle_type_code_1,vehicle_type_code_2
2019-01-29T00:00:00,10:20,BROOKLYN,11235,40.57629,-73.968544,OCEAN PARKWAY                   ,,BRIGHTON BEACH AVENUE,1.0,0.0,1,0,0,0,0,0,View Obstructed/Limited,,,,,4071133,,,,"(40.57629, -73.968544)",Station Wagon/Sport Utility Vehicle,
2019-01-29T00:00:00,10:20,MANHATTAN,10036,40.763996,-73.99601,11 AVENUE                       ,,WEST 47 STREET,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4072062,,,,"(40.763996, -73.99601)",Station Wagon/Sport Utility Vehicle,
2019-01-29T00:00:00,10:30,MANHATTAN,10009,40.732727000000004,-73.97451,AVENUE C                        ,,EAST 20 STREET,0.0,0.0,0,0,0,0,0,0,Oversized Vehicle,Passing Too Closely,,,,4071513,,,,"(40.732727, -73.97451)",Bus,Sedan
2019-01-29T00:00:00,10:30,QUEENS,11355,40.75372,-73.83283,COLLEGE POINT BOULEVARD         ,,MAPLE AVENUE,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unsafe Lane Changing,,,,4071085,,,,"(40.75372, -73.83283)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
2019-01-29T00:00:00,10:30,QUEENS,11418,40.69843,-73.83893,110 STREET                      ,,86 AVENUE,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4070998,,,,"(40.69843, -73.83893)",Station Wagon/Sport Utility Vehicle,Sedan
2019-01-29T00:00:00,10:30,,,40.677605,-74.00275400000001,HAMILTON AVENUE                 ,,NELSON STREET,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4071194,,,,"(40.677605, -74.002754)",Sedan,HARVE
2019-01-29T00:00:00,10:30,QUEENS,11368,40.757534,-73.86658,NORTHERN BOULEVARD              ,,102 STREET,2.0,0.0,0,0,0,0,2,0,Unspecified,Unspecified,,,,4071096,,,,"(40.757534, -73.86658)",Sedan,Sedan
2019-01-29T00:00:00,10:32,MANHATTAN,10022,40.754505,-73.96570600000001,EAST 51 STREET                  ,,1 AVENUE,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4071130,,,,"(40.754505, -73.965706)",Station Wagon/Sport Utility Vehicle,Tanker
2019-01-29T00:00:00,10:32,QUEENS,11691,,,cornaga avenue                  ,,beach channel drive,0.0,0.0,0,0,0,0,0,0,Brakes Defective,,,,,4071089,,,,,Pick-up Truck,
2019-01-29T00:00:00,10:40,,,40.63029,-74.08891,FOREST AVENUE                   ,,,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4071614,,,,"(40.63029, -74.08891)",Station Wagon/Sport Utility Vehicle,Taxi
2019-01-29T00:00:00,10:40,,,40.677605,-74.00275400000001,HAMILTON AVENUE                 ,,NELSON STREET,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4071234,,,,"(40.677605, -74.002754)",Tractor Truck Gasoline,Sedan
2019-01-29T00:00:00,10:40,,,40.58576,-73.97442,SHELL ROAD                      ,,,2.0,0.0,0,0,0,0,2,0,Unsafe Lane Changing,Unspecified,Unspecified,Unspecified,Unspecified,4071104,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,"(40.58576, -73.97442)",Sedan,Sedan
2019-01-29T00:00:00,10:45,QUEENS,11355,40.74552,-73.83544,COLLEGE POINT BOULEVARD         ,,58 ROAD,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4071098,,,,"(40.74552, -73.83544)",Tow Truck / Wrecker,Box Truck
2019-01-29T00:00:00,10:50,BROOKLYN,11201,40.69484,-73.98391,FLATBUSH AVENUE EXTENSION       ,,JOHNSON STREET,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4071490,,,,"(40.69484, -73.98391)",Sedan,Tractor Truck Diesel
2019-01-29T00:00:00,10:50,,,40.759983,-73.96480600000001,2 AVENUE                        ,,,1.0,0.0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,4071131,,,,"(40.759983, -73.964806)",Concrete Mixer,Taxi
2019-01-29T00:00:00,10:55,BROOKLYN,11220,40.639435,-74.00546,53 STREET                       ,,8 AVENUE,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4071434,,,,"(40.639435, -74.00546)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
2019-01-29T00:00:00,11:00,BROOKLYN,11214,40.606327,-73.99647,83 STREET                       ,,20 AVENUE,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4071311,,,,"(40.606327, -73.99647)",Sedan,Station Wagon/Sport Utility Vehicle
2019-01-29T00:00:00,11:00,BROOKLYN,11231,40.678925,-74.01106,VAN BRUNT STREET                ,,PIONEER STREET,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4071192,,,,"(40.678925, -74.01106)",Station Wagon/Sport Utility Vehicle,TRAIL
2019-01-29T00:00:00,11:00,MANHATTAN,10019,40.768394,-73.98683,,435       WEST 57 STREET                ,,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Driver Inattention/Distraction,,,,4071145,,,,"(40.768394, -73.98683)",Box Truck,Box Truck
2019-01-29T00:00:00,11:00,STATEN ISLAND,10310,40.62495,-74.11426,,651       BROADWAY                      ,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4072057,,,,"(40.62495, -74.11426)",Sedan,
2019-01-29T00:00:00,11:00,,,40.879948,-73.88086,STEUBEN AVENUE                  ,,,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4071177,,,,"(40.879948, -73.88086)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
2019-01-29T00:00:00,11:00,QUEENS,11372,40.748222,-73.87835,88 STREET                       ,,ROOSEVELT AVENUE,2.0,0.0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inexperience,,,,4071086,,,,"(40.748222, -73.87835)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
2019-01-29T00:00:00,11:05,MANHATTAN,10001,40.74839,-73.98655,,50        WEST 33 STREET                ,,1.0,0.0,0,0,1,0,0,0,Passenger Distraction,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4071228,,,,"(40.74839, -73.98655)",Taxi,Bike
2019-01-29T00:00:00,11:07,,,40.704212,-74.0088,OLD SLIP                        ,,WATER STREET,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4071356,,,,"(40.704212, -74.0088)",Box Truck,Box Truck
2019-01-29T00:00:00,11:07,,,0.0,0.0,KINGS HIGHWAY                   ,,EAST 32 STREET,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4072149,,,,"(0.0, 0.0)",Station Wagon/Sport Utility Vehicle,
2019-01-29T00:00:00,11:08,QUEENS,11378,40.725388,-73.90884,59 STREET                       ,,56 AVENUE,0.0,0.0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4071165,,,,"(40.725388, -73.90884)",Sedan,Van
2019-01-29T00:00:00,11:15,MANHATTAN,10024,,,AMSTERDAM AVENUE                ,,78 STREET,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4071040,,,,,Sedan,Sedan
2019-01-29T00:00:00,11:15,QUEENS,11415,40.711822999999995,-73.83612,UNION TURNPIKE                  ,,PARK LANE,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Following Too Closely,,,,4071118,,,,"(40.711823, -73.83612)",Sedan,Station Wagon/Sport Utility Vehicle
2019-01-29T00:00:00,11:15,QUEENS,11420,40.672356,-73.809685,129 STREET                      ,,SUTTER AVENUE,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4071482,,,,"(40.672356, -73.809685)",Sedan,Sedan
2019-01-29T00:00:00,11:20,BROOKLYN,11211,40.707592,-73.95555,BROADWAY                        ,,KEAP STREET,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4071345,,,,"(40.707592, -73.95555)",Sedan,Station Wagon/Sport Utility Vehicle
2019-01-29T00:00:00,11:20,,,40.699512,-73.81461,VANWYCK EXPRESSWAY              ,,91 AVENUE,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4071034,,,,"(40.699512, -73.81461)",Sedan,Station Wagon/Sport Utility Vehicle
2019-01-29T00:00:00,11:20,BROOKLYN,11206,40.710716,-73.93635,,23        MEADOW STREET                 ,,1.0,0.0,1,0,0,0,0,0,Unspecified,,,,,4071350,,,,"(40.710716, -73.93635)",Station Wagon/Sport Utility Vehicle,
2019-01-29T00:00:00,11:30,MANHATTAN,10012,40.725082,-73.99534,EAST HOUSTON STREET             ,,LAFAYETTE STREET,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4071564,,,,"(40.725082, -73.99534)",Sedan,
2019-01-29T00:00:00,11:30,QUEENS,11367,40.726490000000005,-73.8107,PARSONS BOULEVARD               ,,75 AVENUE,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4071593,,,,"(40.72649, -73.8107)",Sedan,Sedan
2019-01-29T00:00:00,11:30,,,40.81792,-73.949745,WEST 135 STREET                 ,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4071084,,,,"(40.81792, -73.949745)",Station Wagon/Sport Utility Vehicle,
2019-01-29T00:00:00,11:30,,,40.624672,-74.13644000000001,,1441      FOREST AVENUE                 ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4071264,,,,"(40.624672, -74.13644)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
2019-01-29T00:00:00,11:40,BROOKLYN,11229,40.610653000000006,-73.95355,KINGS HIGHWAY                   ,,OCEAN AVENUE,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4071126,,,,"(40.610653, -73.95355)",Pick-up Truck,Sedan
2019-01-29T00:00:00,11:40,,,40.783146,-73.97833,WEST 79 STREET                  ,,,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4071101,,,,"(40.783146, -73.97833)",Station Wagon/Sport Utility Vehicle,Sedan
2019-01-29T00:00:00,11:45,,,,,VERRAZANO BRIDGE UPPER          ,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4072236,,,,,Sedan,Station Wagon/Sport Utility Vehicle
2019-01-29T00:00:00,11:47,BRONX,10469,40.872993,-73.85266999999999,EAST GUN HILL ROAD              ,,TENBROECK AVENUE,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,4071580,,,,"(40.872993, -73.85267)",Sedan,Sedan
2019-01-29T00:00:00,11:50,BROOKLYN,11201,40.69099,-73.99175,COURT STREET                    ,,SCHERMERHORN STREET,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Passing Too Closely,,,,4071483,,,,"(40.69099, -73.99175)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
2019-01-29T00:00:00,11:54,,,,,KINGS HIGHWAY                   ,,FOSTER AVENUE,2.0,0.0,0,0,0,0,2,0,Driver Inattention/Distraction,Driverless/Runaway Vehicle,Unspecified,,,4071397,Sedan,,,,Station Wagon/Sport Utility Vehicle,Van
2019-01-29T00:00:00,11:55,,,40.811638,-73.9316,MAJOR DEEGAN EXPRESSWAY         ,,,1.0,0.0,0,0,0,0,1,0,Following Too Closely,Reaction to Uninvolved Vehicle,,,,4072286,,,,"(40.811638, -73.9316)",Station Wagon/Sport Utility Vehicle,Sedan
2019-01-29T00:00:00,12:00,MANHATTAN,10016,40.746403,-73.97973,LEXINGTON AVENUE                ,,EAST 34 STREET,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,4071140,,,,"(40.746403, -73.97973)",Pick-up Truck,Sedan
2019-01-29T00:00:00,12:00,QUEENS,11367,40.740035999999996,-73.821,,148-39    61 ROAD                       ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4071083,,,,"(40.740036, -73.821)",Pick-up Truck,Sedan
2019-01-29T00:00:00,12:00,QUEENS,11420,40.676876,-73.82377,114 PLACE                       ,,ROCKAWAY BOULEVARD,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4071464,,,,"(40.676876, -73.82377)",Sedan,
2019-01-29T00:00:00,12:00,,,40.751453000000005,-73.83228000000001,COLLEGE POINT BOULEVARD         ,,,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Unsafe Lane Changing,,,,4071097,,,,"(40.751453, -73.83228)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
2019-01-29T00:00:00,12:00,,,40.824932000000004,-73.82431,CROSS BRONX EXPRESSWAY          ,,RANDALL AVENUE,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4071498,,,,"(40.824932, -73.82431)",Box Truck,Station Wagon/Sport Utility Vehicle
2019-01-29T00:00:00,12:00,,,40.611313,-74.09844,NARROWS ROAD NORTH              ,,CLOVE ROAD,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4071605,,,,"(40.611313, -74.09844)",Sedan,Sedan
2019-01-29T00:00:00,12:10,MANHATTAN,10036,40.759544,-73.988106,,740       8 AVENUE                      ,,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4071146,,,,"(40.759544, -73.988106)",Taxi,Taxi
2019-01-29T00:00:00,12:11,MANHATTAN,10065,40.766666,-73.96706999999999,PARK AVENUE                     ,,EAST 65 STREET,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4071512,,,,"(40.766666, -73.96707)",Sedan,Sedan
2019-01-29T00:00:00,12:12,BRONX,10475,40.868885,-73.82349,,2210      BARTOW AVENUE                 ,,1.0,0.0,1,0,0,0,0,0,Unspecified,,,,,4071504,,,,"(40.868885, -73.82349)",Sedan,
2019-01-29T00:00:00,12:24,BROOKLYN,11207,40.677208,-73.89723000000001,PENNSYLVANIA AVENUE             ,,FULTON STREET,1.0,0.0,1,0,0,0,0,0,Unsafe Speed,,,,,4071537,,,,"(40.677208, -73.89723)",Station Wagon/Sport Utility Vehicle,
2019-01-29T00:00:00,12:30,BRONX,10456,40.83226,-73.91369,EAST 167 STREET                 ,,COLLEGE AVENUE,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4071257,,,,"(40.83226, -73.91369)",Pick-up Truck,Pick-up Truck
2019-01-29T00:00:00,12:30,,,40.630559999999996,-74.1057,BARD AVENUE                     ,,FOREST AVENUE,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4072256,,,,"(40.63056, -74.1057)",Station Wagon/Sport Utility Vehicle,
2019-01-29T00:00:00,12:30,QUEENS,11375,40.726772,-73.84875,,67-71     YELLOWSTONE BOULEVARD         ,,1.0,0.0,1,0,0,0,0,0,,,,,,4071122,,,,"(40.726772, -73.84875)",,
2019-01-29T00:00:00,12:30,QUEENS,11419,40.690247,-73.82497,101 AVENUE                      ,,120 STREET,2.0,0.0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,4071335,,,,"(40.690247, -73.82497)",Sedan,Sedan
2019-01-29T00:00:00,12:37,QUEENS,11354,40.76536,-73.82786999999999,35 AVENUE                       ,,UNION STREET,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4071099,,,,"(40.76536, -73.82787)",Station Wagon/Sport Utility Vehicle,Sedan
2019-01-29T00:00:00,12:38,QUEENS,11373,40.736927,-73.8783,,85-06     QUEENS BOULEVARD              ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4071399,,,,"(40.736927, -73.8783)",Station Wagon/Sport Utility Vehicle,Pick-up Truck
2019-01-29T00:00:00,12:39,BRONX,10460,40.845985,-73.884476,EAST 180 STREET                 ,,SOUTHERN BOULEVARD,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4072105,,,,"(40.845985, -73.884476)",Sedan,Tractor Truck Diesel
2019-01-29T00:00:00,12:40,BROOKLYN,11201,40.689228,-73.9847,LIVINGSTON STREET               ,,ELM PLACE,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4071670,,,,"(40.689228, -73.9847)",Station Wagon/Sport Utility Vehicle,Sedan
2019-01-29T00:00:00,12:40,BROOKLYN,11232,40.655273,-74.0105,2 AVENUE                        ,,39 STREET,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4071216,,,,"(40.655273, -74.0105)",Box Truck,Station Wagon/Sport Utility Vehicle
2019-01-29T00:00:00,12:40,,,40.62937,-74.14754,MORNINGSTAR ROAD                ,,SAINT ADALBERTS PLACE,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4071254,,,,"(40.62937, -74.14754)",Pick-up Truck,Sedan
2019-01-29T00:00:00,12:40,,,40.693203000000004,-73.95399499999999,WALWORTH STREET                 ,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4072074,,,,"(40.693203, -73.953995)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
2019-01-29T00:00:00,12:40,,,40.75369,-73.74445,CROSS ISLAND PARKWAY            ,,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Reaction to Uninvolved Vehicle,,,,4071211,,,,"(40.75369, -73.74445)",Sedan,Sedan
2019-01-29T00:00:00,12:44,BROOKLYN,11209,40.622894,-74.02239,82 STREET                       ,,6 AVENUE,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4071103,,,,"(40.622894, -74.02239)",Pick-up Truck,Sedan
2019-01-29T00:00:00,12:45,,,40.59219,-74.087395,HYLAN BOULEVARD                 ,,,0.0,0.0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Reaction to Uninvolved Vehicle,,,,4071306,,,,"(40.59219, -74.087395)",Station Wagon/Sport Utility Vehicle,Sedan
2019-01-29T00:00:00,12:45,,,40.841029999999996,-73.94463,RIVERSIDE DRIVE                 ,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4071531,,,,"(40.84103, -73.94463)",Sedan,Station Wagon/Sport Utility Vehicle
2019-01-29T00:00:00,12:45,QUEENS,11415,40.712196,-73.83258000000001,AUSTIN STREET                   ,,80 ROAD,1.0,0.0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4071348,,,,"(40.712196, -73.83258)",Sedan,Van
2019-01-29T00:00:00,12:50,QUEENS,11377,40.740272999999995,-73.89586,QUEENS BOULEVARD                ,,69 STREET,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unsafe Lane Changing,,,,4071114,,,,"(40.740273, -73.89586)",Bus,Sedan
2019-01-29T00:00:00,13:00,BRONX,10461,40.8474,-73.84931999999999,,1605      WILLIAMSBRIDGE ROAD           ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4071585,,,,"(40.8474, -73.84932)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
2019-01-29T00:00:00,13:00,MANHATTAN,10012,40.725429999999996,-73.99678,WEST HOUSTON STREET             ,,BROADWAY,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4072226,,,,"(40.72543, -73.99678)",Dump,Sedan
2019-01-29T00:00:00,13:00,,,40.767117,-73.956505,1 AVENUE                        ,,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4072137,,,,"(40.767117, -73.956505)",Sedan,
2019-01-29T00:00:00,13:00,,,40.734314000000005,-73.93803,REVIEW AVENUE                   ,,,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,,,,,4071855,,,,"(40.734314, -73.93803)",Station Wagon/Sport Utility Vehicle,Taxi
2019-01-29T00:00:00,13:00,,,,,CROSS BRONX EXPY RAMP           ,,,2.0,0.0,0,0,0,0,2,0,Aggressive Driving/Road Rage,Unspecified,Unspecified,,,4071274,,,,,Sedan,Sedan
2019-01-29T00:00:00,13:05,BROOKLYN,11220,40.640762,-74.00766999999999,7 AVENUE                        ,,53 STREET,0.0,0.0,0,0,0,0,0,0,Other Vehicular,,,,,4071219,,,,"(40.640762, -74.00767)",Station Wagon/Sport Utility Vehicle,
2019-01-29T00:00:00,13:08,MANHATTAN,10011,40.744015000000005,-74.00851,WEST 16 STREET                  ,,11 AVENUE,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Passing Too Closely,,,,4071645,,,,"(40.744015, -74.00851)",Taxi,Box Truck
