Original,Fuzzy,SJR,H index
Aging Cell,Aging Cell,,
J Aging Res,J Aging Res,,
Cell Stem Cell,Cell Stem Cell,,
Aging,Aging,,
Cell Microbiol,Cell Microbiol,,
FEBS Lett,FEBS Lett,,
Environ Pollut,Environ Pollut,,
J Neurosci,J Neurosci,,
Acta Biochim Biophys Sin (Shanghai),Acta Biochim Biophys Sin (Shanghai),,
Autophagy,Autophagy,,
Am J Physiol Renal Physiol,Am J Physiol Renal Physiol,,
Cancer Lett,Cancer Letters,,
J Pharm Innov,J Pharm Innov,,
Trans Res,Trans Res,,
Br J Pharmacol,Br J Pharmacol,,
J Nutr Biochem,J Nutr Biochem,,
eNeuro,eNeuro,,
Neurotoxicology,Neurotoxicology,,
Metab Brain Dis,Metab Brain Dis,,
Neurobiol Aging,Neurobiol Aging,,
Stem Cells Dev,Stem Cells Dev,,
EBioMedicine,EBioMedicine,,
Parkinsons Dis,Parkinsons Dis,,
Prog Neurobiol,Prog Neurobiol,,
J Bone Miner Res,J Bone Miner Res,,
Am J Physiol Lung Cell Mol Physiol,Am J Physiol Lung Cell Mol Physiol,,
Toxicon,Toxicon,,
MBio,MBio,,
Cell Mol Life Sci,Cell Mol Life Sci,,
Oxid Med Cell Longev,Oxid Med Cell Longev,,
J Nat Prod,J Nat Prod,,
Diabetes Obes Metab,Diabetes Obes Metab,,
J Mater Chem B,J Mater Chem B,,
J Mol Cell Cardiol,J Mol Cell Cardiol,,
Brain Behav Immun,Brain Behav Immun,,
Cell Cycle,Cell Cycle,,
Neurobiol Dis,Neurobiol Dis,,
Nat Neurosci,Nat Neurosci,,
J Cell Mol Med,J Cell Mol Med,,
Front Pharmacol,Front Pharmacol,,
Toxicol Appl Pharmacol,Toxicol Appl Pharmacol,,
Antioxid Redox Signal,Antioxid Redox Signal,,
Sens Actuators B Chem,Sens Actuators B Chem,,
Neurochem Int,Neurochem Int,,
J Cell Biochem,J Cell Biochem,,
Methods Mol Biol,Methods Mol Biol,,
Stem Cells,Stem Cells,,
Methods Enzymol,Methods Enzymol,,
Front Biol,Front Biol,,
JCI Insight,JCI Insight,,
EMBO Rep,EMBO Rep,,
Biochemical and Biophysical Research Communications,Biochemical and Biophysical Research Communications,,
Cell Biochem Biophys,Cell Biochem Biophys,,
J Bioenerg Biomembr,J Bioenerg Biomembr,,
Can J Physiol,Can J Physiol,,
Curr Opin Microbiol,Curr Opin Microbiol,,
ACS Chem Biol,ACS Chem Biol,,
Mol Pharmacol,Mol Pharmacol,,
The Journal of Nutritional Biochemistry,The Journal of Nutritional Biochemistry,,
J Neuroinflammation,J Neuroinflammation,,
BMC Cancer,BMC Cancer,,
Nitric Oxide,Nitric Oxide,,
Neuron,Neuron,,
Biochem Pharmacol,Biochem Pharmacol,,
Molecular Nutrition & Food Research,Molecular Nutrition & Food Research,,
Microarray Bioprinting Technology,Microarray Bioprinting Technology,,
Food Chem Toxicol,Food Chem Toxicol,,
Sci Signal,Sci Signal,,
J Hematol Oncol,J Hematol Oncol,,
Int J Parasitol Drugs Drug Resist,Int J Parasitol Drugs Drug Res,,
Nature Cell Biology,Nature Cell Biology,,
J Biol Methods,J Biol Methods,,
Parasit Vectors,Parasit Vectors,,
Curr Protoc Toxicol,Curr Protoc Toxicol,,
Rev. Chim (Bucharest),Rev. Chim (Bucharest),,
J Neuroimmune Pharmacol,J Neuroimmune Pharmacol,,
Mol Neurobiol,Mol Neurobiol,,
Int J Biol Sci,Int J Biol Sci,,
Transl Stroke Res,Transl Stroke Res,,
Front Pediatr,Front Pediatr,,
J Allergy Clin Immunol,J Allergy Clin Immunol,,
Cell Death Discov,Cell Death Discov,,
Immunity,Immunity,,
J Cancer,J Cancer,,
Pflugers Arch,Pflugers Arch,,
Mol Microbiol,Mol Microbiol,,
J Cell Biol,J Cell Biol,,
Cancer Med,Cancer Med,,
SpringerPlus,SpringerPlus,,
Aging (Albany NY),Aging (Albany NY),,
J Neuromusc Dis,J Neuromusc Dis,,
Int J Mol Med,Int J Mol Med,,
Endocr J,Endocr J,,
Lipids,Lipids,,
Endocrine,Endocrine,,
Scientific Reports,Scientific Reports,,
Am J Hum Genet,Am J Hum Genet,,
Circulation,Circulation,,
Clin Exp Immunol,Clin Exp Immunol,,
Biochem J,Biochem J,,
Biochim Biophys Acta Proteins Proteom,Biochim Biophys Acta Proteins Proteom,,
Rev Med Chir Soc Med Nat Iasi,Rev Med Chir Soc Med Nat Iasi,,
Exp Dermatol,Exp Dermatol,,
Mol Biochem Parasitol,Mol Biochem Parasitol,,
Pulmonary Circulation,Pulmonary Circulation,,
J Transl Med,J Transl Med,,
Comp Biochem Physiol A Mol Integr Physiol,Comp Biochem Physiol A Mol Integr Physiol,,
Cell Mol Bioeng,Cell Mol Bioeng,,
J. Clin. Biochem. Nutr.,J. Clin. Biochem. Nutr.,,
Am J Cancer Res,Am J Cancer Res,,
Ultrasound Med Biol,Ultrasound Med Biol,,
Exp Gerontol,Exp Gerontol,,
Exp Hematol,Exp Hematol,,
American Society of Hematology,American Society of Hematology,,
Biometals,Biometals,,
J Exp Biol,J Exp Biol,,
Adv Sci (Weinh),Adv Sci (Weinh),,
PLoSOne,PLoS ONE,,
Biomed Pharmacother,Biomed Pharmacother,,
Cancer Drug Discov & Devel,Cancer Drug Discov & Devel,,
Transl Psychiatry,Transl Psychiatry,,
Physiol Rep,Physiol Rep,,
Am J Physiol Heart Circ Physiol,Am J Physiol Heart Circ Physiol,,
J Biomed Sci,J Biomed Sci,,
Int Rev Neurobiol,Int Rev Neurobiol,,
J Neuromuscul Dis,J Neuromuscul Dis,,
Part Fibre Toxicol,Part Fibre Toxicol,,
Anal Chem,Anal Chem,,
PLoS Negl Trop Dis,PLoS Negl Trop Dis,,
JACC: Basic to Translational Science,JACC: Basic to Translational Science,,
Stem Cell Research,Stem Cell Research,,
Apoptosis,Apoptosis,,
Brain Res Bull,Brain Res Bull,,
Amino Acids,Amino Acids,,
Acta Pharmacol Sin,Acta Pharmacol Sin,,
Br J Cancer,Br J Cancer,,
Open Biol,Open Biol,,
J Immunol Methods,J Immunol Methods,,
Genetics,Genetics,,
Poult Sci.,Poult Sci.,,
J Cell Physiol,J Cell Physiol,,
J Alzheimers Dis,J Alzheimers Dis,,
Mol Cell Neurosci,Mol Cell Neurosci,,
J Neurovirol,J Neurovirol,,
Curr Protoc Cell Biol,Curr Protoc Cell Biol,,
Clin Genet,Clin Genet,,
Invest Ophthalmol Vis Sci,Invest Ophthalmol Vis Sci,,
Int J Cancer,Int J Cancer,,
J Peripher Nerv Syst.,J Peripher Nerv Syst.,,
Transplant Direct,Transplant Direct,,
