Original,Fuzzy,SJR,H index
Critical Reviews in Clinical Laboratory Sciences,Critical Reviews in Clinical Laboratory Sciences,"2,035",64
mSphere,mSphere,"2,030",12
Frontiers in Oncology,Frontiers in Oncology,"2,023",50
Biomolecular Detection and Quantification,Biomolecular Detection and Quantification,"2,010",9
Cell Calcium,Cell Calcium,"2,004",102
Journal of Experimental and Clinical Cancer Research,Journal of Experimental and Clinical Cancer Research,"2,000",63
Journal of Endocrinology,Journal of Endocrinology,"1,993",130
FEBS Letters,FEBS Letters,"1,991",232
Age and Ageing,Age and Ageing,"1,989",122
Journal of Neurochemistry,Journal of Neurochemistry,"1,978",207
International Review of Cell and Molecular Biology,International Review of Cell and Molecular Biology,"1,973",104
Acta Biomaterialia,Acta Biomater,"1,967",139
Biophysical Journal,Biophysical Journal,"1,949",239
Molecular Plant-Microbe Interactions,Molecular Plant-Microbe Interactions,"1,935",133
Molecular Plant Pathology,Molecular Plant Pathology,"1,932",85
Molecular Endocrinology,Molecular Endocrinology,"1,919",174
Oral Oncology,Oral Oncology,"1,912",96
Insect Biochemistry and Molecular Biology,Insect Biochemistry and Molecular Biology,"1,912",97
Cell Adhesion and Migration,Cell Adhesion and Migration,"1,903",43
Biology of Sex Differences,Biology of Sex Differences,"1,902",27
Oncogenesis,Oncogenesis,"1,901",26
"Cancer Immunology, Immunotherapy","Cancer Immunology, Immunotherapy","1,899",100
Biotechnology for Biofuels,Biotechnology for Biofuels,"1,899",67
Cancer Journal,Cancer Journal,"1,893",54
European Journal of Endocrinology,European Journal of Endocrinology,"1,892",126
International Journal of Cell Biology,International Journal of Cell Biology,"1,887",39
Plant Methods,Plant Methods,"1,885",49
Journal of Bacteriology,Journal of Bacteriology,"1,885",214
Laboratory Investigation,Laboratory Investigation,"1,883",137
Endocrinology,Endocrinology,"1,878",235
Vaccine,Vaccine,"1,863",159
Current Opinion in Lipidology,Current Opinion in Lipidology,"1,847",113
American Journal of Physiology - Lung Cellular and Molecular Physiology,American Journal of Physiology - Lung Cellular and Molecular Physiology,"1,844",147
European Journal of Human Genetics,European Journal of Human Genetics,"1,842",111
Mutation Research - Reviews in Mutation Research,Mutation Research - Reviews in Mutation Research,"1,838",109
Biochemical Pharmacology,Biochemical Pharmacology,"1,832",177
Genes Chromosomes and Cancer,Genes Chromosomes and Cancer,"1,831",111
Frontiers in Molecular Biosciences,Frontiers in Molecular Biosciences,"1,824",15
American Journal of Physiology - Gastrointestinal and Liver Physiology,American Journal of Physiology - Gastrointestinal and Liver Physiology,"1,822",149
Genes,Genes,"1,820",27
Conservation Physiology,Conservation Physiology,"1,818",19
Journal of Proteome Research,Journal of Proteome Research,"1,818",140
npj Biofilms and Microbiomes,npj Biofilms and Microbiomes,"1,817",9
Microbiology spectrum,Microbiology spectrum,"1,814",21
Chemical Record,Chemical Record,"1,814",65
Gastric Cancer,Gastric Cancer,"1,810",64
Investigative Genetics,Investigative Genetics,"1,809",19
American Journal of Physiology - Cell Physiology,American Journal of Physiology - Cell Physiology,"1,809",164
Diabetes/Metabolism Research and Reviews,Diabetes/Metabolism Research and Reviews,"1,807",97
Molecular Brain,Molecular Brain,"1,805",45
Bioconjugate Chemistry,Bioconjugate Chemistry,"1,801",154
Cellular Signalling,Cellular Signalling,"1,799",133
Nucleic Acid Therapeutics,Nucleic Acid Therapeutics,"1,794",57
Database : the journal of biological databases and curation,Database : the journal of biological databases and curation,"1,791",40
Advances and Applications in Bioinformatics and Chemistry,Advances and Applications in Bioinformatics and Chemistry,"1,790",11
Journal of Integrative Plant Biology,Journal of Integrative Plant Biology,"1,782",64
Polymer Chemistry,Polymer Chemistry,"1,778",86
"Genes, Brain and Behavior","Genes, Brain and Behavior","1,776",79
Biochemical Society Transactions,Biochemical Society Transactions,"1,776",129
Epigenomics,Epigenomics,"1,774",39
Best Practice and Research in Clinical Endocrinology and Metabolism,Best Practice and Research in Clinical Endocrinology and Metabolism,"1,773",93
Human Gene Therapy,Human Gene Therapy,"1,771",140
European Journal of Cell Biology,European Journal of Cell Biology,"1,770",86
"G3: Genes, Genomes, Genetics","G3: Genes, Genomes, Genetics","1,764",41
Lung Cancer,Lung Cancer,"1,750",110
"Genetics, Selection, Evolution","Genetics, Selection, Evolution","1,745",61
Cancer Science,Cancer Science,"1,744",123
Aging and Disease,Aging and Disease,"1,744",32
"Nanomedicine: Nanotechnology, Biology, and Medicine","Nanomedicine: Nanotechnology, Biology, and Medicine","1,743",94
Plant Molecular Biology,Plant Molecular Biology,"1,737",152
Diabetes Technology and Therapeutics,Diabetes Technology and Therapeutics,"1,735",74
Journal of Hypertension,Journal of Hypertension,"1,733",159
ILAR Journal,ILAR Journal,"1,732",62
Current Protocols in Human Genetics,Current Protocols in Human Genetics,"1,730",21
Progress in Histochemistry and Cytochemistry,Progress in Histochemistry and Cytochemistry,"1,730",33
Plant Genome,Plant Genome,"1,728",23
American Journal of Physiology - Renal Physiology,American Journal of Physiology - Renal Physiology,"1,725",151
Journal of the Royal Society Interface,Journal of the Royal Society Interface,"1,723",103
Stem cells translational medicine,Stem cells translational medicine,"1,722",45
Tissue Barriers,Tissue Barriers,"1,721",17
Genesis,Genesis,"1,712",100
Horticulture Research,Horticulture Research,"1,698",17
Cell Cycle,Cell Cycle,"1,695",130
Biology Direct,Biology Direct,"1,694",54
BMC Medical Genomics,BMC Medical Genomics,"1,688",48
Genomics,Genomics,"1,688",133
Progress in Molecular Biology and Translational Science,Progress in Molecular Biology and Translational Science,"1,688",85
International Journal of Biological Sciences,International Journal of Biological Sciences,"1,686",64
Biochemistry,Biochemistry,"1,685",226
Stem Cell Research and Therapy,Stem Cell Research and Therapy,"1,685",47
Applied and Environmental Microbiology,Applied and Environmental Microbiology,"1,684",281
American Journal of Medical Genetics - Seminars in Medical Genetics,American Journal of Medical Genetics - Seminars in Medical Genetics,"1,683",90
Journal of Nutritional Biochemistry,Journal of Nutritional Biochemistry,"1,678",114
Cancer Biology and Medicine,Cancer Biology and Medicine,"1,676",25
Transcription,Transcription,"1,674",21
Biochimica et Biophysica Acta - General Subjects,Biochimica et Biophysica Acta - General Subjects,"1,671",135
Journal of Inherited Metabolic Disease,Journal of Inherited Metabolic Disease,"1,668",86
Plant Science,Plant Science,"1,667",123
Molecular Nutrition and Food Research,Molecular Nutrition & Food Research,"1,666",104
Mitochondrion,Mitochondrion,"1,666",72
Molecular and Cellular Neurosciences,Molecular and Cellular Neurosciences,"1,661",123
Psychology and Aging,Psychology and Aging,"1,661",127
Bone,Bone,"1,652",177
Protein Science,Protein Science,"1,652",157
Journal of Neurophysiology,Journal of Neurophysiology,"1,650",220
Translational Oncogenomics,Translational Oncogenomics,"1,648",8
Expert Reviews in Molecular Medicine,Expert Reviews in Molecular Medicine,"1,647",70
Mammalian Genome,Mammalian Genome,"1,647",90
Journal of Cellular and Molecular Medicine,Journal of Cellular and Molecular Medicine,"1,647",108
Forensic Science International: Genetics,Forensic Science International: Genetics,"1,644",55
Biofabrication,Biofabrication,"1,643",49
Molecular Genetics and Metabolism,Molecular Genetics and Metabolism,"1,642",96
Cytoskeleton,Cytoskeleton,"1,641",76
Journal of Cellular Physiology,Journal of Cellular Physiology,"1,641",154
Hormones and Behavior,Hormones and Behavior,"1,638",127
Frontiers in Aging Neuroscience,Frontiers in Aging Neuroscience,"1,638",47
Journal of Applied Crystallography,Journal of Applied Crystallography,"1,635",140
Molecular and Cellular Endocrinology,Molecular and Cellular Endocrinology,"1,629",125
Diabetic Medicine,Diabetic Medicine,"1,628",128
Life,Life,"1,625",19
Journal of Biological Rhythms,Journal of Biological Rhythms,"1,620",89
Molecular Human Reproduction,Molecular Human Reproduction,"1,619",110
Psychophysiology,Psychophysiology,"1,616",139
Audiology and Neurotology Extra,Audiology and Neurotology Extra,"1,611",3
Fungal Genetics and Biology,Fungal Genetics and Biology,"1,611",93
Journal of Experimental Biology,Journal of Experimental Biology,"1,611",156
American Journal of Physiology - Heart and Circulatory Physiology,American Journal of Physiology - Heart and Circulatory Physiology,"1,610",176
Environmental Research,Environmental Research,"1,605",108
Eukaryotic Cell,Eukaryotic Cell,"1,603",102
Clinical Lung Cancer,Clinical Lung Cancer,"1,597",49
Expert Opinion on Therapeutic Targets,Expert Opinion on Therapeutic Targets,"1,597",74
Plant Reproduction,Plant Reproduction,"1,597",52
Journal of Molecular Endocrinology,Journal of Molecular Endocrinology,"1,596",87
Bioarchitecture,Bioarchitecture,"1,595",16
Neurogenetics,Neurogenetics,"1,593",53
Tissue Engineering - Part B: Reviews,Tissue Engineering,"1,593",69
Frontiers in Physiology,Frontiers in Physiology,"1,590",62
Stem Cells and Cloning: Advances and Applications,Stem Cells and Cloning: Advances and Applications,"1,588",15
Acta Diabetologica,Acta Diabetologica,"1,587",52
Journal of Pharmacology and Experimental Therapeutics,Journal of Pharmacology and Experimental Therapeutics,"1,586",204
Experimental Cell Research,Experimental Cell Research,"1,583",171
Wiley Interdisciplinary Reviews: Systems Biology and Medicine,Wiley Interdisciplinary Reviews: Systems Biology and Medicine,"1,580",39
Cancer Causes and Control,Cancer Causes and Control,"1,575",120
Molecular Pharmaceutics,Molecular Pharmaceutics,"1,572",102
Handbook of Experimental Pharmacology,Handbook of Experimental Pharmacology,"1,570",74
Frontiers in Bioengineering and Biotechnology,Frontiers in Bioengineering and Biotechnology,"1,565",20
Journal of Translational Medicine,Journal of Translational Medicine,"1,565",81
Biological Chemistry,Biological Chemistry,"1,562",108
Advances in Clinical Chemistry,Advances in Clinical Chemistry,"1,562",37
Cellular Physiology and Biochemistry,Cellular Physiology and Biochemistry,"1,561",73
Oxidative Medicine and Cellular Longevity,Oxidative Medicine and Cellular Longevity,"1,558",55
Cytometry Part A,Cytometry Part A,"1,557",73
Molecular Medicine,Molecular Medicine,"1,555",103
Current Genetics,Current Genetics,"1,555",73
Journal of Neuroendocrinology,Journal of Neuroendocrinology,"1,554",103
Biochimie,Biochimie,"1,554",116
Cancer Epidemiology,Cancer Epidemiology,"1,552",64
Expert Review of Vaccines,Expert Review of Vaccines,"1,551",69
American Journal of Physiology - Regulatory Integrative and Comparative Physiology,American Journal of Physiology - Regulatory Integrative and Comparative Physiology,"1,550",157
Acta Physiologica,Acta Physiologica,"1,542",98
Diabetes Research and Clinical Practice,Diabetes Research and Clinical Practice,"1,538",95
Gerontology,Gerontology,"1,534",77
Endocrine Connections,Endocrine Connections,"1,530",8
Alkaloids: Chemistry and Biology,Alkaloids: Chemistry and Biology,"1,527",34
Genes to Cells,Genes to Cells,"1,526",106
Clinical Genetics,Clinical Genetics,"1,522",89
American Journal of Respiratory Cell and Molecular Biology,American Journal of Respiratory Cell and Molecular Biology,"1,519",144
Neuroendocrinology,Neuroendocrinology,"1,517",90
Computational and Structural Biotechnology Journal,Computational and Structural Biotechnology Journal,"1,517",21
Analytica Chimica Acta,Analytica Chimica Acta,"1,512",172
Planta,Planta,"1,508",137
Food Control,Food Control,"1,502",94
Lipid Insights,Lipid Insights,"1,502",9
Human Genomics,Human Genomics,"1,501",43
American Journal of Botany,American Journal of Botany,"1,499",130
Biochimica et Biophysica Acta - Biomembranes,Biochimica et Biophysica Acta - Biomembranes,"1,495",158
Gene Expression,Gene Expression,"1,495",41
Glycobiology,Glycobiology,"1,493",112
Molecules and Cells,Molecules and Cells,"1,493",63
Mechanisms of Ageing and Development,Mechanisms of Ageing and Development,"1,492",103
International Journal of Biochemistry and Cell Biology,International Journal of Biochemistry and Cell Biology,"1,492",161
Transfusion Medicine Reviews,Transfusion Medicine Reviews,"1,490",62
Journal of Genetics and Genomics,Journal of Genetics and Genomics,"1,488",42
Biomedical Optics Express,Biomedical Optics Express,"1,486",60
Molecular Pain,Molecular Pain,"1,483",67
Pflugers Archiv European Journal of Physiology,Pflugers Archiv European Journal of Physiology,"1,479",116
BMC Bioinformatics,BMC Bioinformatics,"1,479",176
Methods in Enzymology,Methods in Enzymology,"1,479",148
Journal of Applied Physiology,Journal of Applied Physiology,"1,471",204
Cancer Medicine,Cancer Medicine,"1,470",27
NeuroMolecular Medicine,NeuroMolecular Medicine,"1,468",62
"Current Opinion in Endocrinology, Diabetes and Obesity","Current Opinion in Endocrinology, Diabetes and Obesity","1,467",54
Cellular Oncology,Cellular Oncology,"1,465",26
BMC Cancer,BMC Cancer,"1,464",104
Reviews of Physiology Biochemistry and Pharmacology,Reviews of Physiology Biochemistry and Pharmacology,"1,463",61
Cancer Microenvironment,Cancer Microenviron,"1,457",34
Advances in Carbohydrate Chemistry and Biochemistry,Advances in Carbohydrate Chemistry and Biochemistry,"1,453",36
NMR in Biomedicine,NMR in Biomedicine,"1,451",101
Biology Open,Biology Open,"1,451",27
Experimental Gerontology,Experimental Gerontology,"1,450",120
Cell and Bioscience,Cell and Bioscience,"1,447",30
Progress in Biophysics and Molecular Biology,Progress in Biophysics and Molecular Biology,"1,446",95
Biology of Reproduction,Biology of Reproduction,"1,446",160
Clinical Proteomics,Clinical Proteomics,"1,443",24
Microbial Cell Factories,Microbial Cell Factories,"1,443",73
ACS Chemical Neuroscience,ACS Chemical Neuroscience,"1,442",46
Birth Defects Research Part C - Embryo Today: Reviews,Birth Defects Research Part C - Embryo Today: Reviews,"1,441",62
Proteomics,Proteomics,"1,435",149
Cytokine,Cytokine,"1,433",99
Journal of Steroid Biochemistry and Molecular Biology,Journal of Steroid Biochemistry and Molecular Biology,"1,431",111
Journal of Proteomics,Journal of Proteomics,"1,430",85
BMC Developmental Biology,BMC Developmental Biology,"1,430",65
Biogerontology,Biogerontology,"1,428",62
Stem Cells and Development,Stem Cells and Development,"1,426",94
Chromosome Research,Chromosome Research,"1,425",74
Apoptosis : an international journal on programmed cell death,Apoptosis : an international journal on programmed cell death,"1,424",98
Pathogens,Pathogens,"1,421",18
Chemical Senses,Chemical Senses,"1,420",87
Hypertension Research,Hypertension Research,"1,411",75
American Journal of Cancer Research,American Journal of Cancer Research,"1,411",20
Functional and Integrative Genomics,Functional and Integrative Genomics,"1,410",63
ChemBioChem,ChemBioChem,"1,407",113
Brain Research,Brain Research,"1,404",183
Biology of the Cell,Biology of the Cell,"1,398",75
Clinical and Experimental Metastasis,Clinical and Experimental Metastasis,"1,397",91
Developmental Psychobiology,Developmental Psychobiology,"1,394",81
Cell and Tissue Research,Cell and Tissue Research,"1,393",121
Journal of Human Genetics,Journal of Human Genetics,"1,391",72
ACS Medicinal Chemistry Letters,ACS Medicinal Chemistry Letters,"1,388",45
Experimental Hematology,Experimental Hematology,"1,387",112
Tree Physiology,Tree Physiology,"1,387",112
Cancer Research and Treatment,Cancer Research and Treatment,"1,385",25
Journal of Nanobiotechnology,Journal of Nanobiotechnology,"1,380",51
Journal of Chromatography A,Journal of Chromatography A,"1,378",204
Journal of Genomics,Journal of Genomics,"1,378",2
Quarterly Journal of Experimental Psychology,Quarterly Journal of Experimental Psychology,"1,374",59
"Journal of immunotherapy (Hagerstown, Md. : 1997)","Journal of immunotherapy (Hagerstown, Md. : 1997)","1,373",87
Biotechnology and Bioengineering,Biotechnology and Bioengineering,"1,372",165
Journal of Biomolecular NMR,Journal of Biomolecular NMR,"1,371",96
Mediators of Inflammation,Mediators of Inflammation,"1,370",71
Journal of Natural Products,Journal of Natural Products,"1,368",120
"Proteins: Structure, Function and Genetics","Proteins: Structure, Function and Genetics","1,362",174
Integrative Biology (United Kingdom),Integrative Biology (United Kingdom),"1,360",56
Journal of Dermatological Science,Journal of Dermatological Science,"1,359",80
Cancer Gene Therapy,Cancer Gene Therapy,"1,359",79
Photosynthesis Research,Photosynthesis Research,"1,359",95
"European Journal of Cancer, Supplement","European Journal of Cancer, Supplement","1,358",21
Advances in Genetics,Advances in Genetics,"1,354",59
Pharmacogenomics and Personalized Medicine,Pharmacogenomics and Personalized Medicine,"1,353",19
Molecular Immunology,Molecular Immunology,"1,352",108
Biological Procedures Online,Biological Procedures Online,"1,352",34
Vascular Pharmacology,Vascular Pharmacology,"1,352",83
Archives of Biochemistry and Biophysics,Archives of Biochemistry and Biophysics,"1,350",151
Journal of Dairy Science,Journal of Dairy Science,"1,350",159
Vascular Cell,Vascular Cell,"1,349",26
Physiological Genomics,Physiological Genomics,"1,346",96
European Cells and Materials,European Cells and Materials,"1,345",68
IUBMB Life,IUBMB Life,"1,344",96
Reproductive BioMedicine Online,Reproductive BioMedicine Online,"1,343",95
European Journal of Pharmaceutics and Biopharmaceutics,European Journal of Pharmaceutics and Biopharmaceutics,"1,342",132
Journal of Biological Engineering,Journal of Biological Engineering,"1,340",28
Algorithms for Molecular Biology,Algorithms for Molecular Biology,"1,333",29
Digestive Diseases and Sciences,Digestive Diseases and Sciences,"1,330",110
Pancreas,Pancreas,"1,327",93
Diabetes and Metabolism,Diabetes and Metabolism,"1,326",78
Biology,Biology,"1,324",24
Stem Cell Reviews and Reports,Stem Cell Reviews and Reports,"1,323",61
Developmental Dynamics,Developmental Dynamics,"1,322",127
Reproduction,Reproduction,"1,322",114
European Journal of Clinical Investigation,European Journal of Clinical Investigation,"1,321",94
Pharmacogenomics Journal,Pharmacogenomics Journal,"1,320",75
Organogenesis,Organogenesis,"1,320",38
Clinical and Vaccine Immunology,Clinical and Vaccine Immunology,"1,320",95
Journal of Diabetes and its Complications,Journal of Diabetes and its Complications,"1,317",74
Mycologia,Mycologia,"1,317",94
Neuroepigenetics,Neuroepigenetics,"1,316",7
Molecular Therapy - Methods and Clinical Development,Molecular Therapy - Methods and Clinical Development,"1,311",16
Targeted Oncology,Targeted Oncology,"1,304",33
Genetics and Epigenetics,Genetics and Epigenetics,"1,304",7
Journal of Biomedical Science,Journal of Biomedical Science,"1,302",68
Journal of Cancer Epidemiology,Journal of Cancer Epidemiology,"1,301",19
Cancer Biology and Therapy,Cancer Biology and Therapy,"1,300",96
Genes and Immunity,Genes and Immunity,"1,299",92
Journal of Experimental Zoology Part B: Molecular and Developmental Evolution,Journal of Experimental Zoology Part B: Molecular and Developmental Evolution,"1,297",54
Bioscience Reports,Bioscience Reports,"1,296",65
Pharmaceuticals,Pharmaceuticals,"1,293",39
Medical Physics,Medical Physics,"1,289",152
Neurochemistry International,Neurochemistry International,"1,283",106
Cellular and Molecular Neurobiology,Cellular and Molecular Neurobiology,"1,283",77
Neuroscience Bulletin,Neuroscience Bulletin,"1,282",31
Organic and Biomolecular Chemistry,Organic and Biomolecular Chemistry,"1,281",126
Journal of Mammary Gland Biology and Neoplasia,Journal of Mammary Gland Biology and Neoplasia,"1,278",90
Nitric Oxide - Biology and Chemistry,Nitric Oxide - Biology and Chemistry,"1,278",80
"Infection, Genetics and Evolution","Infection, Genetics and Evolution","1,278",69
Molecular Carcinogenesis,Molecular Carcinogenesis,"1,277",84
BMC Cell Biology,BMC Cell Biology,"1,277",57
Gene Therapy,Gene Therapy,"1,277",150
Microbial Biotechnology,Microbial Biotechnology,"1,275",48
HUGO Journal,HUGO Journal,"1,275",12
Endocrinology and Metabolism Clinics of North America,Endocrinology and Metabolism Clinics of North America,"1,270",90
Journal of Insect Physiology,Journal of Insect Physiology,"1,265",84
Translational Oncology,Translational Oncology,"1,263",39
Best Practice and Research in Clinical Haematology,Best Practice and Research in Clinical Haematology,"1,260",68
International Journal of Molecular Sciences,International Journal of Molecular Sciences,"1,260",95
Stress: the International Journal on Biology of Stress,Stress: the International Journal on Biology of Stress,"1,260",67
Differentiation; Research in Biological Diversity,Differentiation; Research in Biological Diversity,"1,259",88
Essays in Biochemistry,Essays in Biochemistry,"1,259",50
Melanoma Research,Melanoma Research,"1,259",66
Physiologia Plantarum,Physiologia Plantarum,"1,257",123
Journal of Ginseng Research,Journal of Ginseng Research,"1,256",27
Oncoscience,Oncoscience,"1,255",16
Progress in Medicinal Chemistry,Progress in Medicinal Chemistry,"1,253",32
Hormones and Cancer,Hormones and Cancer,"1,251",26
The Analyst,The Analyst,"1,249",129
"Journal of Comparative Physiology A: Neuroethology, Sensory, Neural, and Behavioral Physiology","Journal of Comparative Physiology A: Neuroethology, Sensory, Neural, and Behavioral Physiology","1,246",83
Critical Reviews in Biotechnology,Critical Reviews in Biotechnology,"1,243",73
Journal of Environmental Science and Health - Part C Environmental Carcinogenesis and Ecotoxicology Reviews,Journal of Environmental Science and Health - Part C Environmental Carcinogenesis and Ecotoxicology Reviews,"1,243",41
American Journal of Stem Cells,American Journal of Stem Cells,"1,241",15
Zoologica Scripta,Zoologica Scripta,"1,238",53
Experimental Physiology,Experimental Physiology,"1,238",86
Journal of Cancer Research and Clinical Oncology,Journal of Cancer Research and Clinical Oncology,"1,235",84
Genes and Cancer,Genes and Cancer,"1,233",52
Frontiers in Neuroengineering,Frontiers in Neuroengineering,"1,230",29
Journal of Animal Science and Biotechnology,Journal of Animal Science and Biotechnology,"1,228",20
BioFactors,BioFactors,"1,227",81
Journal of Biochemistry,Journal of Biochemistry,"1,226",104
International journal of nanomedicine,International journal of nanomedicine,"1,225",87
Endocrine Practice,Endocrine Practice,"1,224",71
Placenta,Placenta,"1,223",107
Audiology and Neuro-Otology,Audiology and Neuro-Otology,"1,222",69
Chemistry and Physics of Lipids,Chemistry and Physics of Lipids,"1,220",86
Gene Regulation and Systems Biology,Gene Regulation and Systems Biology,"1,218",14
Immunity and Ageing,Immunity and Ageing,"1,218",34
Current Opinion in Oncology,Current Opinion in Oncology,"1,217",83
BMC Molecular Biology,BMC Molecular Biology,"1,216",65
Stem Cell Research,Stem Cell Research,"1,214",48
Journal of Cellular Biochemistry,Journal of Cellular Biochemistry,"1,209",147
Virchows Archiv,Virchows Archiv,"1,207",89
Stem Cells International,Stem Cells International,"1,206",36
Reproductive Biology and Endocrinology,Reproductive Biology and Endocrinology,"1,203",74
Journal of Heredity,Journal of Heredity,"1,199",83
Drugs in Context,Drugs in Context,"1,194",10
Molecular Therapy - Oncolytics,Molecular Therapy - Oncolytics,"1,193",8
Prostaglandins and Other Lipid Mediators,Prostaglandins and Other Lipid Mediators,"1,191",63
Insect Molecular Biology,Insect Molecular Biology,"1,189",84
Gait and Posture,Gait and Posture,"1,188",123
Behavior Genetics,Behavior Genetics,"1,186",85
Methods in Cell Biology,Methods in Cell Biology,"1,184",67
Applied Microbiology and Biotechnology,Applied Microbiology and Biotechnology,"1,182",188
Journal of Magnetic Resonance,Journal of Magnetic Resonance,"1,182",106
Biochimica et Biophysica Acta - Clinical,Biochimica et Biophysica Acta - Clinical,"1,181",11
Journal of Assisted Reproduction and Genetics,Journal of Assisted Reproduction and Genetics,"1,179",66
Cancer Cytopathology,Cancer Cytopathology,"1,178",40
Journal of Plant Physiology,Journal of Plant Physiology,"1,178",101
Yeast,Yeast,"1,172",93
JAK-STAT,JAK-STAT,"1,170",2
Biochimica et Biophysica Acta - Proteins and Proteomics,Biochimica et Biophysica Acta - Proteins and Proteomics,"1,170",128
Evolution and Development,Evolution and Development,"1,170",69
International Journal of Oncology,International Journal of Oncology,"1,169",106
Molecular Genetics and Genomics,Molecular Genetics and Genomics,"1,168",108
Journal of Neuro-Oncology,Journal of Neuro-Oncology,"1,168",102
Journal of Chemical Ecology,Journal of Chemical Ecology,"1,168",99
GeroScience,GeroScience,"1,168",45
Journal of Interferon and Cytokine Research,Journal of Interferon and Cytokine Research,"1,167",83
PLoS ONE,PLoS ONE,"1,164",241
Biofuel Research Journal,Biofuel Research Journal,"1,163",16
BMC Genetics,BMC Genetics,"1,160",62
Tissue Engineering - Part A,Tissue Engineering,"1,159",91
Advances in Microbial Physiology,Advances in Microbial Physiology,"1,158",56
Cancer genetics,Cancer genetics,"1,156",31
Andrology,Andrology,"1,154",24
Alcohol,Alcohol,"1,153",71
Pharmacology Biochemistry and Behavior,Pharmacology Biochemistry and Behavior,"1,150",121
Tumor Biology,Tumor Biology,"1,149",63
International Journal of Tryptophan Research,International Journal of Tryptophan Research,"1,149",15
Journal of Biomechanics,Journal of Biomechanics,"1,147",170
Cancer Chemotherapy and Pharmacology,Cancer Chemother Pharmacol,"1,147",95
Virus Research,Virus Research,"1,147",102
Cytotherapy,Cytotherapy,"1,144",72
Crystallography Reviews,Crystallography Reviews,"1,143",23
Seminars in Reproductive Medicine,Seminars in Reproductive Medicine,"1,143",69
Molecular Imaging and Biology,Molecular Imaging and Biology,"1,142",60
Journal of Cardiovascular Translational Research,Journal of Cardiovascular Translational Research,"1,141",41
Bioinformatics and Biology Insights,Bioinformatics and Biology Insights,"1,141",16
Current Plant Biology,Current Plant Biology,"1,140",6
Microcirculation,Microcirculation,"1,140",74
Molecular Breeding,Molecular Breeding,"1,139",90
Cell Structure and Function,Cell Structure and Function,"1,138",57
Biomechanics and Modeling in Mechanobiology,Biomechanics and Modeling in Mechanobiology,"1,138",55
ChemMedChem,ChemMedChem,"1,137",88
Journal of Mammalogy,Journal of Mammalogy,"1,136",83
Amino Acids,Amino Acids,"1,135",98
Nutrition Research,Nutrition Research,"1,135",74
Fungal Biology,Fungal Biology,"1,134",90
Molecular Reproduction and Development,Molecular Reproduction and Development,"1,134",95
Expert Review of Molecular Diagnostics,Expert Review of Molecular Diagnostics,"1,134",65
Prostaglandins Leukotrienes and Essential Fatty Acids,Prostaglandins Leukotrienes and Essential Fatty Acids,"1,131",94
CBE Life Sciences Education,CBE Life Sciences Education,"1,131",44
Cancer Cell International,Cancer Cell Int,"1,130",41
Journal of Vascular Research,Journal of Vascular Research,"1,129",67
Experimental Dermatology,Experimental Dermatology,"1,126",82
Biotechnology journal,Biotechnology journal,"1,125",63
Plant Physiology and Biochemistry,Plant Physiology and Biochemistry,"1,125",98
Bone Research,Bone Research,"1,124",22
Endocrinology and Metabolism,Endocrinology and Metabolism,"1,123",15
Cellular and Molecular Bioengineering,Cellular and Molecular Bioengineering,"1,123",23
Metabolomics,Metabolomics,"1,122",58
Journal of Cereal Science,Journal of Cereal Science,"1,121",96
Expert Opinion on Biological Therapy,Expert Opinion on Biological Therapy,"1,117",73
Journal of Diabetes Research,Journal of Diabetes Research,"1,116",26
BioTechniques,BioTechniques,"1,116",119
Neonatology,Neonatology,"1,114",71
Sexual Development,Sexual Development,"1,114",35
Clinical Chemistry and Laboratory Medicine,Clinical Chemistry and Laboratory Medicine,"1,114",88
"Applied Physiology, Nutrition and Metabolism","Applied Physiology, Nutrition and Metabolism","1,112",73
Future Medicinal Chemistry,Future Medicinal Chemistry,"1,111",49
BMC Medical Genetics,BMC Medical Genetics,"1,109",60
Molecular and Biochemical Parasitology,Molecular and Biochemical Parasitology,"1,109",100
BMC Systems Biology,BMC Systems Biology,"1,109",67
Journal of Industrial Microbiology and Biotechnology,Journal of Industrial Microbiology and Biotechnology,"1,107",93
Journal of Breast Cancer,Journal of Breast Cancer,"1,105",24
Purinergic Signalling,Purinergic Signalling,"1,104",48
Clinica Chimica Acta,Clinica Chimica Acta,"1,102",121
Journal of Zoological Systematics and Evolutionary Research,Journal of Zoological Systematics and Evolutionary Research,"1,102",43
General and Comparative Endocrinology,General and Comparative Endocrinology,"1,101",100
Endocrine,Endocrine,"1,101",71
Journal of Inflammation,Journal of Inflammation,"1,101",42
"American Journal of Medical Genetics, Part A","American Journal of Medical Genetics, Part A","1,098",74
BMB reports,BMB reports,"1,097",64
Metal ions in life sciences,Metal ions in life sciences,"1,096",24
Cell Proliferation,Cell Prolif,"1,095",62
Phytomedicine,Phytomedicine,"1,087",98
Biochemical and Biophysical Research Communications,Biochemical and Biophysical Research Communications,"1,087",237
PeerJ,PeerJ,"1,087",35
Chronobiology International,Chronobiology International,"1,086",84
Molecular BioSystems,Molecular BioSystems,"1,084",76
Genes and Nutrition,Genes and Nutrition,"1,084",41
International Journal of Developmental Biology,International Journal of Developmental Biology,"1,083",92
Prion,Prion,"1,081",33
AIDS Research and Therapy,AIDS Research and Therapy,"1,080",33
American Journal of Translational Research,American Journal of Translational Research,"1,080",39
