name,volume,caffeine,density,type
Rockstar Perfect Berry,16,240,15,energy
Rockstar Punched,16,240,15,energy
Rockstar Punched (non-USA),16.91,160,9.5,energy
Rockstar Punched Guava,16,160,10,energy
Rockstar Pure Zero Energy Drink,16,240,15,energy
Rockstar Recovery,16,160,10,energy
Rockstar Roasted,15,220,14.7,energy
Rockstar Sparkling Energy,16,160,10,energy
Rockstar Super Sours,16,240,15,energy
Rockstar XDurance Energy Drink,16,240,15,energy
Rockstar Zero Carb,16,240,15,energy
RootJack Caffeinated Pirate Root Beer,12,120,10,soda
Ruby Red Squirt,12,39,3.2,soda
Rude Energy Drink,8,75,9.4,energy
Rumba Energy Juice,16,170,10.6,energy
Runa Clean Energy Drink,8.46,120,14.2,energy
Rush! Energy,8.3,50,6,energy
Sambazon Amazon Energy Drink,12,80,6.7,energy
Sarsaparilla,12,0,0,energy
Scheckters Organic Energy Drink,8.46,135,16,energy
Screamin Energy Max Hit,0.6087,185,303.9,energy
Seattle's Best Brewed Coffee,12,260,21.7,coffee
Sencha Green Tea Shot,6.4,40,6.2,shot
Sex Drive Energy Drink,8.4,50,6,energy
Shark Energy Drink,8.4,80,9.5,energy
Shasta Cola,12,43,3.6,soda
Shock Coffee Triple Latte,8,231,28.9,latte
Sin Energy Drink,8.4,90,10.7,energy
Ski Soda,12,69,5.8,soda
Slam Energy Drink,2,107,53.5,energy
Slammers Energy Drink,8.46,80,9.5,energy
SLAP Energy Drink,16,220,13.8,energy
Slim-Fast Cappuccino Delight Shake,12,40,3.3,coffee
"Slurpee, Cherry",16,50,3.1,soda
"Slurpee, Crystal Light",16,0,0,soda
Snapple Tea,16,42,2.6,tea
SoBe Energy Citrus,20,80,4,energy
SoBe Green Tea,20,35,1.8,tea
SoBe Power Fruit Punch,20,77,3.9,energy
Soda Stream,16,160,10,soda
Source Energy Drink,8.46,80,9.5,energy
Southern Sweet Tea,16,41,2.6,tea
Spark Energy Drink,8,120,15,energy
Spartan Energy Drink,8.4,90,10.7,energy
Speed Energy Drink,16,186,11.6,energy
Speed Stack Energy Drink,18,250,13.9,energy
Spider Energy Drink,16,240,15,energy
Spike Energy Double Shot,4.26,350,82.2,shot
Spike Energy Drink,16,350,21.9,energy
SPIKE Shooter,8.4,300,35.7,energy
Sport Max Energy Shot,2,140,70,shot
Sprite,12,0,0,soda
Stakk'd Caffeine Mixer,1,180,180,energy
Starbucks Bottled Frappucino,9.5,90,9.5,coffee
Starbucks Bottled Iced Coffee,11,115,10.5,coffee
Starbucks Decaf Coffee,16,25,1.6,coffee
Starbucks Discoveries Caffe Mocha,50.7,539,10.6,coffee
Starbucks Double Shot,6.5,125,19.2,coffee
Starbucks Doubleshot Energy + Coffee,15,145,9.7,coffee
Starbucks Grande Caffe Americano,16,225,14.1,coffee
Starbucks Grande Caffe Latte,16,150,9.4,coffee
Starbucks Grande Caffe Mocha,16,175,10.9,coffee
Starbucks Grande Cappuccino,16,150,9.4,coffee
Starbucks Grande Coffee,16,330,20.6,coffee
Starbucks Iced Espresso,16,225,14.1,coffee
Starbucks Refreshers,16,50,3.1,coffee
Starbucks Refreshers Canned,12,50,4.2,coffee
