School_Name,School_year,Reported,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
GIBSON EK HIGH SCHOOL,2016-17,Y,112,89.3,8.9,0,8.9,0,0,2.7,1.8,2.7,4.5,4.5,3.6,100,10,0,10,0,0,3,2,3,5,5,4,ISSAQUAH SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"379 1ST PL SE
ISSAQUAH"
GIG HARBOR ACADEMY,2016-17,Y,54,94.4,5.6,3.7,1.9,0,0,1.9,0,1.9,1.9,0,1.9,51,3,2,1,0,0,1,0,1,1,0,1,PENINSULA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,Y,N,"6820 33RD ST NW
GIG HARBOR"
GLACIER MIDDLE SCHOOL,2016-17,Y,769,94.4,5.1,1.7,3.5,0.1,0,3.6,3.4,3,2.6,3,3.3,726,39,13,27,1,0,28,26,23,20,23,25,WHITE RIVER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-Jun,N,Y,"PO BOX 1683
BUCKLEY"
GLACIER VALLEY HIGH SCHOOL,2016-17,Y,40,80,10,2.5,7.5,0,0,7.5,5,10,10,10,7.5,32,4,1,3,0,0,3,2,4,4,4,3,LAKE CHELAN SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,12-Sep,N,N,"PO BOX 369
CHELAN"
GLENRIDGE ELEMENTARY,2016-17,Y,462,90,4.8,2.6,2.2,0.4,0,3.9,3.9,3.9,3.5,2.4,3.7,416,22,12,10,2,0,18,18,18,16,11,17,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"19405 120TH AVE SE
RENTON"
GLENWOOD ELEMENTARY,2016-17,Y,38,89.5,5.3,5.3,0,0,0,2.6,2.6,2.6,5.3,2.6,5.3,34,2,2,0,0,0,1,1,1,2,1,2,GLENWOOD SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,K -6,Y,Y,"PO BOX 12
GLENWOOD"
GOLDENDALE MIDDLE SCHOOL,2016-17,Y,296,90.9,9.1,1.7,6.1,1,0.3,3.4,3.4,1,1.4,1.7,6.4,269,27,5,18,3,1,10,10,3,4,5,19,GOLDENDALE SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 105,8-May,N,Y,"520 E. COLLINS DR.
GOLDENDALE"
GOOD SHEPHERD MONTESSORI,2016-17,Y,4,25,75,0,75,0,0,50,50,50,25,50,50,1,3,0,3,0,0,2,2,2,1,2,2,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,PK-K,Y,N,"805 SE 145TH AVE
VANCOUVER"
GRAYS HARBOR ADVENTIST CHRISTIAN SCHOOL,2016-17,Y,7,85.7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,MONTESANO SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,K-8,Y,Y,"1216 STATE ROUTE 12
MONTESANO"
GRIFFIN BAY SCHOOL,2016-17,Y,13,30.8,15.4,0,7.7,7.7,0,7.7,7.7,7.7,7.7,7.7,15.4,4,2,0,1,1,0,1,1,1,1,1,2,SAN JUAN ISLAND SCHOOL DISTRICT,SAN JUAN,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -12,Y,Y,"PO BOX 458
FRIDAY HARBOR"
HALLETT ELEMENTARY,2016-17,Y,482,92.7,5.2,1.9,3.1,0.2,0.2,3.3,3.3,3.5,3.3,3.5,3.9,447,25,9,15,1,1,16,16,17,16,17,19,MEDICAL LAKE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N,"PO BOX 128
MEDICAL LAKE"
HARRAH COMMUNITY CHRISTIAN SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,MOUNT ADAMS SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,P-8,Y,Y,"50 DANE AVE
HARRAH"
HARRAH ELEMENTARY SCHOOL,2016-17,Y,592,99.7,0,0,0,0,0,0,0,0,0,0,0,590,0,0,0,0,0,0,0,0,0,0,0,MOUNT ADAMS SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,PK-6,Y,Y,"P.O. BOX 159
HARRAH"
HARRINGTON ELEMENTARY SCHOOL,2016-17,Y,82,84.1,4.9,0,4.9,0,0,4.9,4.9,4.9,4.9,2.4,4.9,69,4,0,4,0,0,4,4,4,4,2,4,HARRINGTON SCHOOL DISTRICT,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y,"PO BOX 204
HARRINGTON"
HARRINGTON HIGH SCHOOL,2016-17,Y,42,76.2,7.1,0,7.1,0,0,7.1,7.1,2.4,0,2.4,4.8,32,3,0,3,0,0,3,3,1,0,1,2,HARRINGTON SCHOOL DISTRICT,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,12-Jul,N,N,"PO BOX 204
HARRINGTON"
HEIGHTS ELEMENTARY,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,CLARKSTON SCHOOL DISTRICT,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,K -6,Y,Y,"1917 4TH AVE
CLARKSTON
(46.392665, -117.077887)"
