School_Name,School_year,Reported,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
EXPLORER COMMUNITY SCHOOL,2016-17,Y,73,97.3,2.7,0,2.7,0,0,1.4,1.4,1.4,1.4,1.4,2.7,71,2,0,2,0,0,1,1,1,1,1,2,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,5-Jan,N,N,"7040 208TH NE
REDMOND
(47.668351, -122.062751)"
BLUE HERON MIDDLE SCHOOL,2016-17,Y,398,66.3,15.3,1.5,12.8,0.5,0.5,10.6,9,9.3,10.3,12.1,11.3,264,61,6,51,2,2,42,36,37,41,48,45,PORT TOWNSEND SCHOOL DISTRICT,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,8-Jan,N,Y,"3939 SAN JUAN AVE
PORT TOWNSEND
(48.128463, -122.777833)"
CAMAS HIGH SCHOOL,2016-17,Y,2183,91.7,8,1,6.5,0.5,0.1,4.9,4.2,4,3.7,3.4,5.2,2002,174,22,141,12,2,107,91,87,80,74,114,CAMAS SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,12-Sep,N,N,"26900 SE 15TH ST
CAMAS
(45.610703, -122.396583)"
ALKI MIDDLE SCHOOL,2016-17,Y,689,93.2,4.5,0.3,3.5,0.6,0.1,2.5,2.2,2.9,2.8,2.2,2.5,642,31,2,24,4,1,17,15,20,19,15,17,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,8-Jun,N,Y,"1800 NW BLISS RD
VANCOUVER
(45.72303, -122.691458)"
GEORGE ELEMENTARY,2016-17,Y,183,97.3,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,QUINCY SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -4,Y,N,"101 S. WASHINGTON WAY
QUINCY
(42.244512, -70.994001)"
CHENEY MIDDLE SCHOOL,2016-17,Y,491,78.2,12,2,10,0.4,0,7.1,5.9,6.1,5.9,5.9,9.4,384,59,10,49,2,0,35,29,30,29,29,46,CHENEY SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,8-Jun,N,Y,"2716 N SIXTH ST
CHENEY
(47.505578, -117.575559)"
COSMOPOLIS ELEMENTARY SCHOOL,2016-17,Y,143,90.9,4.2,1.4,2.1,0.7,0.7,4.2,4.2,4.2,4.2,3.5,4.2,130,6,2,3,1,1,6,6,6,6,5,6,COSMOPOLIS SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y,"216 S. 11TH ST.
COSMOPOLIS
(46.957537, -123.776039)"
FAITH LUTHERAN SCHOOL,2016-17,Y,94,94.7,3.2,0,3.2,0,0,0,0,2.1,0,2.1,3.2,89,3,0,3,0,0,0,0,2,0,2,3,NORTH THURSTON PUBLIC SCHOOLS,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-6,Y,Y,"7075 PACIFIC AVE SE
LACEY
(47.041738, -122.785606)"
BARNES ELEMENTARY,2016-17,Y,361,97.8,1.9,1.1,0.8,0,0,1.7,1.7,1.7,1.7,1.1,1.7,353,7,4,3,0,0,6,6,6,6,4,6,KELSO SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"401 BARNES
KELSO
(46.159234, -122.907893)"
BLOSSOMING HILL MONTESSORI,2016-17,Y,38,89.5,10.5,0,10.5,0,0,10.5,10.5,10.5,10.5,10.5,10.5,34,4,0,4,0,0,4,4,4,4,4,4,TAHOMA SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,Y,Y,"23855 SE 216TH ST
MAPLE VALLEY
(47.408332, -122.022392)"
HEATHERWOOD MIDDLE SCHOOL,2016-17,Y,967,90.5,4.7,0.4,4,0.1,0.1,2.4,2.7,2.6,2.4,2.5,3.2,875,45,4,39,1,1,23,26,25,23,24,31,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,8-Jun,N,Y,"1419 TRILLIUM BLVD. SE
MILL CREEK
(47.870061, -122.211463)"
COMMUNITY CHRISTIAN ACADEMY,2016-17,Y,172,96.5,1.7,0,1.7,0,0,1.2,1.2,1.2,1.2,1.7,1.2,166,3,0,3,0,0,2,2,2,2,3,2,NORTH THURSTON PUBLIC SCHOOLS,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-8,Y,Y,"4706 PARK CENTER AVE NE
LACEY
(47.05048, -122.821088)"
CALVARY CHRISTIAN SCHOOL,2016-17,Y,181,80.7,19.3,0.6,18.2,0.6,0,3.9,3.9,5,4.4,6.6,5.5,146,35,1,33,1,0,7,7,9,8,12,10,KENNEWICK SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,P-8,Y,Y,"10611 W CLEARWATER AVE
KENNEWICK
(46.203833, -119.253967)"
COUPEVILLE HIGH SCHOOL,2016-17,Y,321,87.9,10.9,1.2,9.3,0.6,0,7.5,5.9,4.7,5,5.3,0,282,35,4,30,2,0,24,19,15,16,17,0,COUPEVILLE SCHOOL DISTRICT,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,12-Sep,N,N,"501 SOUTH MAIN
COUPEVILLE
(48.207366, -122.686117)"
EDGEMONT JR HIGH,2016-17,Y,385,93.2,5.7,1,4.9,0,0,2.1,3.4,2.6,2.3,2.3,3.9,359,22,4,19,0,0,8,13,10,9,9,15,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-Jul,N,N,"2300 110TH AVE E
EDGEWOOD
(47.236519, -122.282506)"
FOOTHILLS CHRISTIAN SCHOOL,2016-17,Y,75,85.3,14.7,0,14.7,0,0,13.3,13.3,14.7,13.3,12,14.7,64,11,0,11,0,0,10,10,11,10,9,11,MOUNT VERNON SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y,"1511 E BROADWAY
MT VERNON
(48.416526, -122.32204)"
DICKINSON ELEMENTARY,2016-17,Y,505,89.5,3.2,0.8,2.6,0,0,2.2,2.2,2.6,1.8,1.8,2.4,452,16,4,13,0,0,11,11,13,9,9,12,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"7040 - 208TH NE
REDMOND
(47.668351, -122.062751)"
COLVILLE JUNIOR HIGH SCHOOL,2016-17,Y,394,79.7,13.2,1.3,10.9,1,0.3,10.4,9.6,7.6,8.6,7.6,9.1,314,52,5,43,4,1,41,38,30,34,30,36,COLVILLE SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,8-Jun,N,Y,"990 S CEDAR ST
COLVILLE
(48.535695, -117.898481)"
COTTAGE LAKE ELEMENTARY,2016-17,Y,351,90,7.1,0.3,7.1,0,0,4.8,4.8,6,6,5.4,7.1,316,25,1,25,0,0,17,17,21,21,19,25,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y,"15940 AVONDALE RD NE
WOODINVILLE
(47.744242, -122.081306)"
CHESTER ELEMENTARY SCHOOL,2016-17,Y,401,95,3.2,0.5,2.7,0,0,2.5,2.5,2.7,2.5,2.2,3,381,13,2,11,0,0,10,10,11,10,9,12,CENTRAL VALLEY SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N,"3525 S PINES ROAD
SPOKANE VALLEY
(47.624798, -117.239773)"
BIO MED ACADEMY,2016-17,Y,439,77.7,3.4,0.2,3.2,0,0,2.7,2.1,2.3,1.8,2.1,1.6,341,15,1,14,0,0,12,9,10,8,9,7,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,12-Sep,N,N,"8301 84TH STREET NE
MARYSVILLE
(48.07201, -122.11792)"
EAST GRAYS HARBOR HIGH SCHOOL,2016-17,Y,35,80,2.9,0,2.9,0,0,2.9,2.9,2.9,0,0,2.9,28,1,0,1,0,0,1,1,1,0,0,1,ELMA SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,12-Sep,N,N,"1235 MONTE-ELMA RD
ELMA
(47.003049, -123.434125)"
HILDER PEARSON ELEMENTARY,2016-17,Y,325,96.9,2.8,1.2,1.5,0,0,1.2,1.2,1.2,1.5,1.8,2.5,315,9,4,5,0,0,4,4,4,5,6,8,NORTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,Y,N,"15650 CENTRAL VALLEY RD NW
POULSBO
(47.704654, -122.654613)"
CHALLENGER SECONDARY SCHOOL,2016-17,Y,260,85.4,2.3,0.8,0.8,0.8,0,1.2,1.2,0.4,0.4,0,2.3,222,6,2,2,2,0,3,3,1,1,0,6,BETHEL SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-May,N,Y,"18020 B ST E
SPANAWAY
(47.092483, -122.4282)"
GREATER TRINITY CHRISTIAN LEARNING ACADEMY,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,MUKILTEO SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-1,Y,N,"11229 4TH AVE W
EVERETT
(47.895923, -122.238921)"
GARFIELD ELEMENTARY SCHOOL,2016-17,Y,434,91.5,5.1,2.5,2.3,0,0.2,4.4,3.9,4.4,4.8,3.9,4.8,397,22,11,10,0,1,19,17,19,21,17,21,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N,"2215 PINE STREET
EVERETT
(47.98767, -122.192192)"
APPLIED SCHOLASTICS ACADEMY OF SEATTLE,2016-17,Y,15,33.3,20,0,20,0,0,20,20,20,20,20,20,5,3,0,3,0,0,3,3,3,3,3,3,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-6,Y,Y,"520 NE RAVENNA BLVD
SEATTLE
(47.676854, -122.322749)"
EVERGREEN FLEX ACADEMY,2016-17,Y,156,35.9,11.5,0.6,10.3,0.6,0.6,9.6,9.6,10.9,10.9,8.3,10.3,56,18,1,16,1,1,15,15,17,17,13,16,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -12,Y,Y,"13501 NE 28TH STREET
VANCOUVER
(45.642942, -122.533276)"
GRAHAM ELEMENTARY,2016-17,Y,703,94.5,3.6,1.3,2,0.3,0,2.1,2.3,2,2.3,2.8,2.8,664,25,9,14,2,0,15,16,14,16,20,20,BETHEL SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"10026 204TH ST E
GRAHAM
(47.071251, -122.296713)"
AKI KUROSE MIDDLE SCHOOL,2016-17,Y,733,81.7,5.7,5.6,1.2,0,0.1,1.1,1.1,0.8,1,1.6,5.9,599,42,41,9,0,1,8,8,6,7,12,43,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-Jun,N,Y,"3928 S GRAHAM ST
SEATTLE
(47.546008, -122.282106)"
BROADVIEW ELEMENTARY,2016-17,Y,536,95.5,3.2,1.3,1.9,0.2,0,1.9,1.7,1.7,2.1,1.9,2.1,512,17,7,10,1,0,10,9,9,11,10,11,OAK HARBOR SCHOOL DISTRICT,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,"473 SW FAIRHAVEN DR.
OAK HARBOR
(48.295168, -122.666063)"
CHATTAROY ELEMENTARY,2016-17,Y,219,87.2,5,0.9,3.2,0.5,0.5,3.2,3.2,4.1,4.1,3.7,4.6,191,11,2,7,1,1,7,7,9,9,8,10,RIVERSIDE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -4,Y,N,"25717 N. YALE RD.
CHATTAROY
(47.892169, -117.357695)"
BERNEY ELEMENTARY SCHOOL,2016-17,Y,428,95.3,3.5,0.5,2.6,0.5,0.2,1.9,1.9,2.8,2.3,1.9,3.3,408,15,2,11,2,1,8,8,12,10,8,14,WALLA WALLA PUBLIC SCHOOLS,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N,"1718 PLEASANT ST
WALLA WALLA
(46.062141, -118.299781)"
CHINOOK MIDDLE SCHOOL,2016-17,Y,982,82.1,8.6,4,4.7,0.2,0,3.2,3.2,2.5,2.5,3.1,6.2,806,84,39,46,2,0,31,31,25,25,30,61,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-Jun,N,Y,"2001 98TH AVENUE NE
BELLEVUE
(47.627998, -122.209801)"
HALLER MIDDLE SCHOOL,2016-17,Y,681,80,9,0.6,7.8,0.6,0,4.1,3.7,4.4,4.4,3.7,6.5,545,61,4,53,4,0,28,25,30,30,25,44,ARLINGTON SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,8-Jun,N,Y,"600 E. FIRST
ARLINGTON
(35.323506, -89.627144)"
HERITAGE CHRISTIAN SCHOOL,2016-17,Y,188,0,3.2,0,3.2,0,0,2.7,2.7,2.7,2.7,2.7,3.2,0,6,0,6,0,0,5,5,5,5,5,6,UNIVERSITY PLACE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y,"5412 67TH AVE W
UNIVERSITY PLACE
(47.207525, -122.526621)"
ALCUIN SCHOOL,2016-17,Y,2,100,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-1,Y,N,"216 W BOSTON
SEATTLE
(47.638404, -122.360493)"
BASIN CITY ELEMENTARY,2016-17,Y,424,96.5,0.2,0,0,0.2,0,0.2,0.2,0.2,0.2,0,0.5,409,1,0,0,1,0,1,1,1,1,0,2,NORTH FRANKLIN SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -6,Y,Y,"303 BAILIE BLVD
MESA
(46.593406, -119.154216)"
BAY VIEW ELEMENTARY,2016-17,Y,537,90.7,6.7,3.7,3.4,0,0,3,3,3.5,3.5,3.9,6,487,36,20,18,0,0,16,16,19,19,21,32,BURLINGTON-EDISON SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y,"15241 JOSH WILSON RD
BURLINGTON
(48.486884, -122.417734)"
GROVE ELEMENTARY,2016-17,Y,506,95.1,3.8,1,2.8,0,0,2.6,2.6,3.2,3,1.8,3.4,481,19,5,14,0,0,13,13,16,15,9,17,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,"6510 GROVE ST
MARYSVILLE
(48.06445, -122.142996)"
FAITH LUTHERAN SCHOOL,2016-17,Y,115,86.1,13.9,1.7,10.4,1.7,0,13.9,13.9,13.9,13.9,13.9,13.9,99,16,2,12,2,0,16,16,16,16,16,16,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,"113 S 96TH ST
TACOMA
(47.170045, -122.432185)"
BENJAMIN FRANKLIN ELEMENTARY,2016-17,Y,379,91.8,6.1,0.3,5.8,0,0,3.4,3.4,3.4,4.7,5,4.5,348,23,1,22,0,0,13,13,13,18,19,17,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"5206 FRANKLIN ST
VANCOUVER
(45.659903, -122.67731)"
BENGE ELEMENTARY,2016-17,Y,13,61.5,38.5,0,38.5,0,0,15.4,15.4,23.1,15.4,23.1,38.5,8,5,0,5,0,0,2,2,3,2,3,5,BENGE SCHOOL DISTRICT,ADAMS,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y,"2978 E. BENGE-WINONA RD.
BENGE
(46.91616, -118.073576)"
CHIMACUM CREEK PRIMARY SCHOOL,2016-17,Y,224,88.4,8.5,3.6,4.9,0.4,0,6.7,6.7,6.3,6.3,5.8,8,198,19,8,11,1,0,15,15,14,14,13,18,CHIMACUM SCHOOL DISTRICT,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -2,Y,N,"313 NESS CORNER RD
PORT HADLOCK
(48.031877, -122.773244)"
CATHARINE BLAINE K-8 SCHOOL,2016-17,Y,765,85.1,6.3,3,3.8,0,0.1,1.4,1.4,1.2,2.2,3.8,4.7,651,48,23,29,0,1,11,11,9,17,29,36,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -8,Y,Y,"2550 34 AV W
SEATTLE
(47.641905, -122.400984)"
CEDAR HEIGHTS MIDDLE SCHOOL,2016-17,Y,668,93.7,5.2,0.9,3.9,0.4,0,1.6,1.5,1.9,1.5,2.1,3,626,35,6,26,3,0,11,10,13,10,14,20,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-Jul,N,N,"19640 SE 272ND STREET
KENT
(47.358083, -122.07865)"
HARVARD ELEMENTARY,2016-17,Y,398,99.5,0.5,0,0.5,0,0,0.5,0.5,0.3,0.5,0.3,0.3,396,2,0,2,0,0,2,2,1,2,1,1,FRANKLIN PIERCE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"1709 85TH STREET E
TACOMA
(47.179978, -122.405687)"
AMBOY MIDDLE SCHOOL,2016-17,Y,580,86.4,9.3,1.4,7.9,0.5,0,5.7,5.3,4,4.3,6.6,5.3,501,54,8,46,3,0,33,31,23,25,38,31,BATTLE GROUND SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,8-May,N,Y,"22115 NE CHELATCHIE RD
AMBOY
(45.913691, -122.445364)"
FERRUCCI JUNIOR HIGH,2016-17,Y,675,95,4.9,0.9,3.7,0.1,0.1,1.9,2.8,2.1,1.8,2.2,3.3,641,33,6,25,1,1,13,19,14,12,15,22,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-Jul,N,N,"3213 WILDWOOD PK DR
PUYALLUP
(47.159694, -122.270388)"
ABRAHAM LINCOLN ELEMENTARY,2016-17,Y,502,97,1.8,0,1.8,0,0,1.2,1.2,1.6,1,1,1.4,487,9,0,9,0,0,6,6,8,5,5,7,WENATCHEE SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N,"1224 METHOW ST
WENATCHEE
(47.406893, -120.308445)"
CASCADES MONTESSORI MIDDLE SCHOOL,2016-17,Y,33,97,3,0,3,0,0,3,3,3,3,3,3,32,1,0,1,0,0,1,1,1,1,1,1,BELLINGHAM SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,8-Jul,Y,Y,"2710 MCKENZIE AVE
BELLINGHAM
(48.719191, -122.48164)"
CORNERSTONE ACADEMY,2016-17,Y,51,52.9,15.7,2,13.7,0,0,3.9,3.9,3.9,0,9.8,5.9,27,8,1,7,0,0,2,2,2,0,5,3,MONROE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-7,Y,Y,"14377 FRYELANDS BLVD SE
MONROE
(47.866564, -122.009559)"
HOLLYWOOD HILL ELEMENTARY,2016-17,Y,355,90.4,7.3,1.1,6.5,0,0,4.5,4.5,5.4,4.5,5.6,6.2,321,26,4,23,0,0,16,16,19,16,20,22,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"17110 148 AV NE
WOODINVILLE
(47.752594, -122.141698)"
FROST ELEMENTARY,2016-17,Y,439,93.8,4.8,1.6,3,0.2,0,3,3.4,2.3,2.7,3.6,2.7,412,21,7,13,1,0,13,15,10,12,16,12,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"11801 NE 140TH
KIRKLAND
(47.725821, -122.183758)"
APP AT LINCOLN,2016-17,Y,755,93.4,5.4,2.1,3.8,0.3,0,1.6,1.6,1.7,2.4,3.3,3.4,705,41,16,29,2,0,12,12,13,18,25,26,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,5-Jan,N,N,"4400 INTERLAKE AVE N
SEATTLE
(47.660149, -122.340686)"
HILLCREST ELEMENTARY,2016-17,Y,565,97.5,2.5,0.4,1.9,0.2,0,1.6,1.6,1.6,1.4,1.9,1.8,551,14,2,11,1,0,9,9,9,8,11,10,OAK HARBOR SCHOOL DISTRICT,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,"1500 NW 2ND AVE.
OAK HARBOR
(48.300183, -122.677328)"
HARRY S TRUMAN ELEMENTARY SCHOOL,2016-17,Y,571,86.5,9.3,0.5,7.9,0.9,0,7.9,7.7,8.1,8.1,7.4,8.8,494,53,3,45,5,0,45,44,46,46,42,50,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"4505 NE 42ND AVE
VANCOUVER
(45.6547, -122.628342)"
FRONTIER MIDDLE SCHOOL,2016-17,Y,807,42.3,8.8,1.1,6.6,1.4,0,6.8,6.2,6.6,6.8,5.7,7.3,341,71,9,53,11,0,55,50,53,55,46,59,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,8-Jun,N,Y,"7600 NE 166TH AVENUE
VANCOUVER
(45.679168, -122.501867)"
EDISON ELEMENTARY SCHOOL,2016-17,Y,425,97.9,0.2,0,0.2,0,0,0,0,0.2,0.2,0,0.2,416,1,0,1,0,0,0,0,1,1,0,1,WALLA WALLA PUBLIC SCHOOLS,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N,"1315 E ALDER ST
WALLA WALLA
(46.067662, -118.310768)"
CEDARBROOK ADVENTIST CHRISTIAN,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,CHIMACUM SCHOOL DISTRICT,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K-8,Y,Y,"461 KENNEDY RD
PORT HADLOCK
(48.037043, -122.798393)"
COWLITZ SCHOOL AT THE CONFLUENCE,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,WHITE PASS SCHOOL DISTRICT,LEWIS,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,12-Sep,N,N,"408 A CRAIG RD
PACKWOOD
(46.605819, -121.690404)"
BEL-RED BILINGUAL ACADEMY,2016-17,Y,48,100,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-3,Y,N,"15061 BEL-RED RD
BELLEVUE
(47.627634, -122.138009)"
CHIEF MOSES MIDDLE SCHOOL,2016-17,Y,932,87,5.2,1.2,4.3,0.3,0,3.2,2.8,3.3,3.1,3.6,4.2,811,48,11,40,3,0,30,26,31,29,34,39,MOSES LAKE SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,8-Jun,N,Y,"1111 E NELSON ROAD
MOSES LAKE
(47.116467, -119.258674)"
EAST VALLEY ELEMENTARY,2016-17,Y,541,97.8,1.8,0.2,1.7,0,0,1.3,1.3,1.3,1.5,1.5,1.3,529,10,1,9,0,0,7,7,7,8,8,7,EAST VALLEY SCHOOL DISTRICT (YAKIMA),YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N,"1951 BEAUDRY ROAD
YAKIMA
(46.575098, -120.403888)"
GOSPEL OUTREACH,2016-17,Y,41,100,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,OLYMPIA SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,12-Feb,N,Y,"1925 SOUTH BAY RD
OLYMPIA
(47.062028, -122.863028)"
FAIRHAVEN MIDDLE SCHOOL,2016-17,Y,631,87.8,10.9,2.2,9.2,0.5,0,4.1,2.7,3.6,4.4,6.2,7.6,554,69,14,58,3,0,26,17,23,28,39,48,BELLINGHAM SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,8-Jun,N,Y,"110 PARK RIDGE RD
BELLINGHAM
(48.714738, -122.502143)"
FAIRMOUNT ELEMENTARY,2016-17,Y,643,88.5,4.2,1.2,3.6,0,0,2.5,2.5,2.2,2.2,1.7,3.7,569,27,8,23,0,0,16,16,14,14,11,24,MUKILTEO SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,"11401 BEVERLY PARK RD
EVERETT
(47.895467, -122.268801)"
FREDERICKSON ELEMENTARY,2016-17,Y,660,94.7,2.9,1.4,1.1,0.8,0,2.1,2.1,2.4,2.1,2,2.6,625,19,9,7,5,0,14,14,16,14,13,17,BETHEL SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"17418 74TH AVE E
PUYALLUP
(47.099248, -122.330795)"
FORDS PRAIRIE ELEMENTARY,2016-17,Y,379,93.1,1.6,0.5,1.1,0.3,0,1.1,1.1,1.1,1.3,1.1,1.6,353,6,2,4,1,0,4,4,4,5,4,6,CENTRALIA SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,K -3,Y,N,"1620 HARRISON AVENUE
CENTRALIA
(46.734398, -122.98834)"
CHRIST THE KING SCHOOL,2016-17,Y,179,99.4,0.6,0,0,0.6,0,0,0,0.6,0,0,0.6,178,1,0,0,1,0,0,0,1,0,0,1,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,"415 N 117TH ST
SEATTLE
(47.714126, -122.353404)"
